"rownum","Id","SmallWorldAreasKey","i32","HideoutFile","[rid]","LargeWorldAreasKey","HideoutImage","IsEnabled","Weight","rid","bool","Name","[i32]","bool"
0,"HideoutForest",1514,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[34],1513,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],""
1,"HideoutArch",1494,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1222],1495,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],""
2,"HideoutBattleground",1542,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1184],1543,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],""
3,"HideoutBeach",1538,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1125],1539,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],""
4,"HideoutLibrary",1544,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1121],1545,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],""
5,"HideoutGardens",1548,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1183],1549,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],""
6,"HideoutSolaris",1546,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1114],1547,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],""
7,"HideoutFellshrine",1540,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1076],1541,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],""
8,"HideoutSlum",1536,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1093],1537,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],""
9,"HideoutSewer",1516,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[48],1515,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],""
10,"HideoutMine",1520,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[62],1519,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],""
11,"HideoutCourts",1506,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[74,75]",1507,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],""
12,"HideoutCoral",1497,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[96],1496,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],""
13,"HideoutRuinedTemple",1522,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[105],1521,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],""
14,"HideoutOasis",1524,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[136],1523,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],""
15,"HideoutOssuary",1504,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[153],1505,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],""
16,"HideoutBaths",1502,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[121],1503,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],""
17,"HideoutTemplarLab",1535,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[155],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,"Cartographer's Hideout",[],""
18,"HideoutPillarsOfArun",1525,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,"Towering Hideout",[],""
19,"HideoutAtziriArena",1526,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout",1,0,0,1,"Corrupted Hideout",[],""
20,"HideoutInnocenceArena",1527,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout",1,0,0,1,"Innocent Hideout",[],""
21,"HideoutShaperArena",1528,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,"Shaped Hideout",[],""
22,"HideoutKaomArena",1529,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout",1,0,0,1,"Furious Hideout",[],""
23,"HideoutDaressoArena",1530,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout",1,0,0,1,"Champion's Hideout",[],""
24,"HideoutDominusArena",1531,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout",1,0,0,1,"Indomitable Hideout",[],""
25,"HideoutPietyArena",1532,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout",1,0,0,1,"Morbid Hideout",[],""
26,"HideoutLunarisSolarisArena",1533,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout",1,0,0,1,"Eclipsed Hideout","[8,9]",""
27,"HideoutKitavaArenaAct10",1534,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout",1,0,0,1,"Ravenous Hideout",[],""
28,"HideoutSunken",1508,18782,"Metadata/Terrain/Missions/Hideouts/Causeway/decoration.hideout",[1226],1509,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunkenCityHideout",1,33,3,1,"Sunken Hideout",[],""
29,"HideoutShapersRealm",1498,34604,"Metadata/Terrain/Missions/Hideouts/Shaper/decoration.hideout",[1233],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShapersRealmHideout",1,0,0,1,"Celestial Hideout",[],""
30,"HideoutTwilightTemple",1554,50158,"Metadata/Terrain/Missions/Hideouts/TwilightTemple/decoration.hideout",[1160],1555,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwilightTempleHideout",1,2500,1,1,"Divided Hideout",[],""
