"rownum","rid","string"
0,5067,"AbyssalCryMtx"
1,5276,"AncestralCryMtx"
2,5109,"AncestralWarchiefMtx"
3,4915,"AngerMtx"
4,4981,"AnimateWeaponMtx"
5,4908,"ArcMtx"
6,4941,"ArcticArmourMtx"
7,5307,"DefianceBannerMtx"
8,5226,"ArtilleryBallistaMtx"
9,4992,"BallLightningMtx"
10,4991,"BarrageMtx"
11,5267,"BladeBlastMtx"
12,5083,"BladefallMtx"
13,5191,"BladestormMtx"
14,5086,"BladeVortexMtx"
15,5082,"BlastRainMtx"
16,5097,"BlightMtx"
17,5056,"BlinkArrowMtx"
18,5192,"BloodAndSandMtx"
19,5322,"BloodOfferingMtx"
20,4836,"BloodRageMtx"
21,5001,"BoneOfferingMtx"
22,4800,"BladeflurryMtx"
23,4799,"ChargedDashMtx"
24,4921,"ClarityMtx"
25,4804,"CleaveMtx"
26,4985,"PurityofIceMtx"
27,4814,"ColdSnapMtx"
28,5157,"ConsecratedPathMtx"
29,5095,"ContagionMtx"
30,5004,"ConvocationMtx"
31,5134,"CremationMtx"
32,5135,"BodyswapMtx"
33,5285,"CracklingLanceMtx"
34,4957,"CycloneMtx"
35,5183,"MalevolenceMtx"
36,5176,"BaneMtx"
37,5188,"QuickDodgeMtx"
38,4937,"DecoyTotemMtx"
39,4999,"DesecrateMtx"
40,4914,"DeterminationMtx"
41,4816,"DetonateDeadMtx"
42,4938,"DevouringTotemMtx"
43,4841,"DischargeMtx"
44,4912,"DisciplineMtx"
45,5178,"DivineIreMtx"
46,4889,"DominatingBlowMtx"
47,4807,"DoubleStrikeMtx"
48,5169,"DreadBannerMtx"
49,5094,"EarthquakeMtx"
50,5279,"EarthshatterMtx"
51,4809,"ElementalHitMtx"
52,4806,"EnduringCryMtx"
53,5225,"EnsnaringArrowMtx"
54,5098,"EssenceDrainMtx"
55,4939,"EtherealKnivesMtx"
56,4872,"ExplosiveArrowMtx"
57,4796,"FireballMtx"
58,5113,"ScorchingRayMtx"
59,5040,"PyroclastMineMtx"
60,4983,"PurityofFireMtx"
61,4901,"FirestormMtx"
62,4990,"FlameblastMtx"
63,5070,"FlameDashMtx"
64,4942,"FlameTotemMtx"
65,5289,"FlameWallMtx"
66,5201,"FleshAndStoneMtx"
67,5000,"FleshOfferingMtx"
68,4852,"FlickerStrikeMtx"
69,4932,"HailstormMineMtx"
70,4862,"FreezingPulseMtx"
71,4813,"FrenzyMtx"
72,5071,"FrostBladesMtx"
73,5199,"IceDashMtx"
74,5105,"FrostBoltMtx"
75,5106,"FrostBoltNovaMtx"
76,5089,"FrostBombMtx"
77,5280,"GeneralsCryMtx"
78,5003,"GlacialCascadeMtx"
79,4913,"GraceMtx"
80,4803,"GroundSlamMtx"
81,4909,"HasteMtx"
82,4916,"HatredMtx"
83,5048,"HeraldOfAgonyMtx"
84,5045,"HeraldOfAshMtx"
85,5046,"HeraldOfIceMtx"
86,5049,"HeraldOfLightMtx"
87,5047,"HeraldOfThunderMtx"
88,5065,"IceCrashMtx"
89,4797,"IceNovaMtx"
90,4855,"IceSpearMtx"
91,5079,"IceTrapMtx"
92,4810,"ImmortalCallMtx"
93,4956,"IncinerateMtx"
94,5275,"IntimidatingCryMtx"
95,5057,"KineticBlastMtx"
96,5266,"KineticBoltMtx"
97,4808,"LacerateMtx"
98,5166,"LancingSteelMtx"
99,4798,"LeapSlamMtx"
100,4907,"LightningArrowMtx"
101,4987,"PurityofLightningMtx"
102,5149,"LightningSpireMtx"
103,4971,"LightningTrapMtx"
104,4882,"LightningWarpMtx"
105,5077,"MagmaOrbMtx"
106,5055,"MirrorArrowMtx"
107,4904,"MoltenShellMtx"
108,5029,"MoltenStrikeMtx"
109,5090,"OrbOfStormsMtx"
110,4867,"PhaseRunMtx"
111,4820,"PoisonArrowMtx"
112,4905,"PowerSiphonMtx"
113,5200,"PrecisionMtx"
114,5204,"PrideMtx"
115,4906,"PunctureMtx"
116,5179,"WaveOfConvictionMtx"
117,4910,"PurityMtx"
118,4890,"RainOfArrowsMtx"
119,4858,"RaiseSpectreMtx"
120,4815,"RaiseZombieMtx"
121,5066,"RallyingCryMtx"
122,4966,"ReaveMtx"
123,4931,"RejuvenationTotemMtx"
124,4839,"RighteousFireMtx"
125,5159,"ScourgeArrowMtx"
126,4962,"SearingBondMtx"
127,5068,"SeismicCryMtx"
128,5170,"ShatteringSteelMtx"
129,4805,"ShieldChargeMtx"
130,4863,"ShockNovaMtx"
131,4930,"ShockwaveTotemMtx"
132,5222,"ShrapnelBallistaMtx"
133,5084,"SiegeBallistaMtx"
134,5288,"SigilOfPowerMtx"
135,5158,"SmiteMtx"
136,5175,"SoulrendMtx"
137,4853,"SparkMtx"
138,5181,"ZealotryMtx"
139,5002,"SpiritOfferingMtx"
140,4824,"SplitArrowMtx"
141,5186,"SteelskinMtx"
142,5177,"StormbindMtx"
