"rownum","BaseItemType","Scaling","Name"
0,7991,0.85,"Bazira"
1,7992,0.85,"Tsvet Matvei"
2,7993,0.85,"Bazira"
3,7994,0.85,"Count Geonor"
4,7995,0.85,"The Crimson Scribe"
5,7996,0.85,"The Midnight Tinkerer"
6,7997,0.85,"Aline Koltz"
7,7998,0.85,"Tsvet Matvei"
8,7999,0.85,"Administrator Qotra"
9,8000,0.85,"Count Geonor"
10,8001,0.85,"Nishem"
11,8002,0.85,"Aline Koltz"
12,8003,0.85,"Count Geonor"
13,8004,0.85,"Marcine Clavus"
14,8005,0.85,"Marcine Clavus"
15,8006,0.85,"Marcine Clavus"
16,8007,0.85,"Marcine Clavus"
17,8008,0.85,"Marcine Clavus"
18,8009,1.2,"Selwyn Eddard"
19,8010,1.2,"Kondor Larcius"
20,8011,1.2,"Grond Ironeye"
21,8012,1.2,"Bazira"
22,8013,1.2,"Bazira"
23,8014,1.2,"Kondor Larcius"
24,8015,1.2,"The Crimson Scribe"
25,8016,1.2,"Administrator Qotra"
26,8017,1.2,"Administrator Qotra"
27,8018,1.2,"The Crimson Scribe"
28,8019,1.2,"Remus Hestor"
29,8020,1.2,"Nishem"
30,8021,1.2,"The Crimson Scribe"
31,8022,1.2,"Anton Laffrey"
32,8023,1.5,"Tsvet Matvei"
33,8024,1.5,"Kondor Larcius"
34,8025,1.5,"The Midnight Tinkerer"
35,8026,1.5,"Bazira"
36,8027,1.5,"Kondor Larcius"
37,8028,1.5,"The Crimson Scribe"
38,8029,3,"Administrator Qotra"
39,8030,3,"Cardinal Uthelius"
40,8031,3,"Castor Pollinius III"
41,8032,0.3,""
42,8033,0.3,""
43,8034,0.3,""
44,8035,0.3,""
45,8036,0.3,""
46,8037,0.3,""
47,8038,0,"Karst"
48,8039,0,"Karst"
49,8040,0,"Karst"
50,8041,0,"Tibbs"
51,8042,0,"Tibbs"
52,8043,0,"Huck"
53,8044,0,"Huck"
54,8045,0,"Vinderi"
55,8046,0,"Vinderi"
56,8047,0,"Gianna"
57,8048,0,"Gianna"
58,8049,0,"Tullina"
59,8050,0,"Tullina"
60,8051,0,"Niles"
61,8052,0,"Niles"
62,8053,0,"Nenet"
63,8054,0,"Nenet"
64,8055,0,"Isla"
65,8056,0,"Isla"
66,8057,0,"Isla"
67,8058,0,"Adiyah"
68,8059,0,"Adiyah"
69,8060,0,"Adiyah"
70,8061,0,"Whakano"
71,8062,0,"Whakano"
72,8063,0,"Whakano"
73,8064,0,"Faustus"
74,8066,0,"Faustus"
75,8067,0,"Faustus"
76,8068,0,"Kurai"
77,8069,0,"Kurai"
78,8070,0,"Kurai"
79,8071,0,"Kurai"
