"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3609,164,""
1,"Ice",4,0,6228,165,""
2,"CausticCloud",8,5,4610,470,""
3,"Tar",4,0,4961,166,""
4,"Smoke",8,0,12419,229,""
5,"Desecration",4,24,2193,203,""
6,"Consecration",10,0,8711,204,1246
7,"Lightning",6,0,10317,228,""
8,"Maelstorm",4,4,4854,697,""
9,"Haste",4,0,"",783,""
10,"Sandstorm",0,24,"",873,""
11,"Blizzard",4,0,"",802,""
12,"Spores",4,24,7324,451,""
13,"DevouringDarkness",4,24,"",842,""
14,"Quicksand",0,24,7967,921,""
15,"Blood",0,24,"",1122,""
16,"TemporalAnomaly",10,0,10117,1007,1402
17,"OrionMeteor",0,0,"",1428,228
18,"CrownOfThorns",4,24,"",1572,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1544,""
21,"ChaosOfferingOfJudgement",6,24,"",496,519
22,"FireOfferingOfJudgement",6,24,"",495,519
23,"DespairBearGeyser",0,24,"",866,""
24,"Fungal",0,0,"",1392,1394
25,"BestiarySpiderWeb",0,24,"",1037,""
26,"VaalColdSnap",4,24,7909,1116,""
27,"Oil",4,24,"",1628,1629
28,"Scorch",4,0,"",1721,""
29,"GravityWell",0,24,"",1759,""
30,"LightningVortex",4,4,13990,1785,228
