"rownum","Id","Name","WorldAreasKeys","UIImage","SpawnWeight_Depth","SpawnWeight_Values","[i32]","[i32]","Art2D","AchievementItemsKeys","bool","[i32]"
0,"Mines","Mines","[308,309,310,311,312,313,314,315]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/Mines","[0,40,65,0,30,52]","[100,100,0]","[5,5,5]","[10,15,5]","Art/2DArt/DelveMap/MinesGround",[],"","[0,3]"
1,"FungalCaverns","Fungal Caverns","[316,317,318,319,320,321,322,323]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FungalCaverns","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FungalGround",[],"",[0]
2,"PetrifiedForest","Petrified Forest","[324,325,326,327,328,329,330,331]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PetrifiedForest","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/PetrifiedGround",[],"",[0]
3,"AbyssalDepths","Abyssal Depths","[332,333,334,335,336,337,338,339]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalDepths","[10,25]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/AbyssalGround",[],"",[0]
4,"FrozenHollow","Frozen Hollow","[340,341,342,343,344,345,346,347]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FrozenHollow","[20,40,15,30]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FrozenGround",[],"","[0,3]"
5,"MagmaFissure","Magma Fissure","[348,349,350,351,352,353,354,355]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/MagmaFissure","[30,50,20,40]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/MagmaGround",[],"","[0,3]"
6,"SulphurVents","Sulphur Vents","[356,357,358,359,360,361,362,363]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/SulphurVents","[55,75,45,75]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/SulphurGround",[],"","[0,3]"
7,"VaalOutpost","Vaal Outpost","[364,365,366,367,368,369,370,371]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/VaalOutpost","[22,83,600,22,52,600]","[0,12,18]","[5,8,8]","[6,12,12]","Art/2DArt/DelveMap/VaalGround",[],1,"[0,3]"
8,"AbyssalCity","Abyssal City","[372,373,374,375,376,377,378,379]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalCity","[82,83,220,600,51,52,220,600]","[0,4,12,18]","[5,5,8,8]","[7,7,13,13]","Art/2DArt/DelveMap/AbyssalCityGround",[],1,"[0,3]"
9,"Primeval","Primeval Ruins","[380,381,382,383,384,385,386,387]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PrimevalRuins","[219,220,600,150,151,600]","[0,4,12]","[7,7,10]","[8,8,14]","Art/2DArt/DelveMap/PrimevalGround",[],1,"[0,4]"
