"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
0,"1",4.99,53,14,22,20,15,16,1,5.59,10,4.99,4.99,13,58,22
1,"2",5.56,67,15,26,20,17,23,1,6.17,12,5.56,5.56,15,78,26
2,"3",6.16,82,15,31,25,20,31,1,6.8,15,6.16,6.16,18,98,31
3,"4",6.81,97,16,36,38,23,39,1,7.46,18,6.81,6.81,22,119,36
4,"5",7.5,113,17,42,51,26,49,1,8.16,21,7.5,7.5,25,142,42
5,"6",8.23,130,18,48,67,30,60,1,8.9,25,8.23,8.23,29,165,48
6,"7",9,148,19,55,88,33,72,1,9.69,29,9,9,34,189,55
7,"8",9.82,166,20,62,113,37,85,1,10.53,34,9.82,9.82,38,215,62
8,"9",10.7,185,21,70,141,41,100,1,11.42,39,10.7,10.7,44,242,70
9,"10",11.62,205,23,78,173,46,117,1,12.36,44,11.62,11.62,49,270,78
10,"11",12.6,226,24,87,211,50,135,1,13.36,50,12.6,12.6,55,299,87
11,"12",13.64,248,25,97,250,55,156,1,14.42,56,13.64,13.64,62,329,97
12,"13",14.74,271,26,107,297,60,179,1,15.54,63,14.74,14.74,69,361,107
13,"14",15.91,295,28,119,347,66,204,1,16.72,70,15.91,15.91,77,394,119
14,"15",17.14,320,29,131,402,71,231,1,17.97,79,17.14,17.14,86,429,131
15,"16",18.45,346,31,144,461,77,262,1,19.3,87,18.45,18.45,95,465,144
16,"17",19.83,373,32,158,526,84,295,1,20.69,97,19.83,19.83,106,503,158
17,"18",21.29,401,34,173,596,91,332,1,22.17,107,21.29,21.29,117,542,173
18,"19",22.84,431,35,190,668,98,373,1,23.73,119,22.84,22.84,128,584,190
19,"20",24.47,462,37,207,748,105,418,1,25.38,131,24.47,24.47,141,626,207
20,"21",26.19,493,39,226,831,113,467,1,27.12,144,26.19,26.19,155,671,226
21,"22",28.01,527,41,246,921,122,521,1,28.96,158,28.01,28.01,170,717,246
22,"23",29.94,561,43,267,1013,131,580,1,30.9,174,29.94,29.94,187,766,267
23,"24",31.96,597,45,290,1113,140,645,1,32.95,191,31.96,31.96,204,816,290
24,"25",34.11,635,47,315,1216,150,716,1,35.11,209,34.11,34.11,223,868,315
25,"26",36.36,674,49,341,1325,161,794,1,37.38,228,36.36,36.36,244,923,341
26,"27",38.75,715,52,370,1437,171,879,1,39.78,249,38.75,38.75,266,980,370
27,"28",41.26,757,54,400,1560,183,972,1,42.31,272,41.26,41.26,290,1039,400
28,"29",43.91,801,57,432,1685,195,1073,1,44.98,296,43.91,43.91,316,1100,432
29,"30",46.7,846,59,467,1812,208,1184,1,47.79,323,46.7,46.7,344,1164,467
30,"31",49.65,894,62,504,1950,222,1306,1,50.75,351,49.65,49.65,373,1230,504
31,"32",52.75,943,65,543,2089,236,1438,1,53.87,382,52.75,52.75,406,1299,543
32,"33",56.01,994,68,585,2235,251,1582,1,57.15,415,56.01,56.01,440,1371,585
33,"34",59.45,1048,71,630,2386,266,1740,1,60.6,450,59.45,59.45,478,1445,630
34,"35",63.08,1103,74,678,2543,283,1912,1,64.24,489,63.08,63.08,518,1522,678
35,"36",66.89,1160,77,730,2705,300,2099,1,68.07,530,66.89,66.89,561,1603,730
36,"37",70.91,1220,81,785,2873,318,2303,1,72.1,574,70.91,70.91,608,1686,785
37,"38",75.13,1282,84,843,3045,337,2525,1,76.33,621,75.13,75.13,658,1773,843
38,"39",79.58,1346,88,905,3227,357,2766,1,80.79,672,79.58,79.58,712,1863,905
39,"40",84.26,1413,92,972,3407,379,3029,1,85.48,727,84.26,84.26,769,1956,972
40,"41",89.18,1482,96,1042,3597,401,3315,1,90.41,786,89.18,89.18,831,2053,1042
41,"42",94.35,1554,100,1118,3796,424,3626,1,95.59,850,94.35,94.35,898,2153,1118
42,"43",99.8,1628,105,1198,3993,448,3965,1,101.04,917,99.8,99.8,970,2258,1198
43,"44",105.52,1705,109,1284,4203,474,4333,1,106.77,990,105.52,105.52,1046,2366,1284
44,"45",111.53,1785,114,1375,4415,501,4732,1,112.79,1069,111.53,111.53,1129,2478,1375
45,"46",117.86,1868,119,1472,4634,529,5166,2,119.12,1153,117.86,117.86,1217,2594,1472
46,"47",124.5,1954,124,1575,4854,559,5638,2,125.77,1243,124.5,124.5,1312,2715,1575
47,"48",131.49,2044,129,1685,5086,590,6150,2,132.75,1339,131.49,131.49,1414,2840,1685
48,"49",138.83,2136,135,1802,5318,622,6706,2,140.09,1443,138.83,138.83,1523,2970,1802
49,"50",146.53,2232,140,1927,5561,656,7309,2,147.79,1554,146.53,146.53,1640,3104,1927
