"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","[rid]","[rid]","i32","bool","bool","i32"
0,6800,1957,1959,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,6799,2197,2197,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,7123,2628,2628,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,7124,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,7125,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,5132,1089,1089,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,7921,3476,3476,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,8132,3746,3746,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,8133,3746,3746,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,8136,3746,3746,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,8137,3746,3746,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8492,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8493,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8494,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8496,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8497,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8498,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8499,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8500,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8501,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8503,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8505,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8506,4412,4412,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,9044,4412,4412,1,1,0,1,5,60,"","",[],[],0,"","",0
24,9337,4412,4412,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,9338,4412,4412,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,9339,4412,4412,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,7922,3476,3476,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8495,4412,4412,1,1,60,1,20,120,"",1,[],[],0,"","",0
29,8742,1957,1959,1,1,60,1,25,120,1,1,[],[],60,1,"",180
