"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
0,0,598,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,599,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,609,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,610,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,622,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,648,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,649,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,649,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,649,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,655,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,681,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,683,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,711,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,698,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,699,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,700,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,686,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,719,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,719,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,719,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,719,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,709,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,734,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,760,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,770,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,788,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,283,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,796,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,833,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,835,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,797,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,798,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,799,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,800,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,801,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,802,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,803,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,804,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,805,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,806,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
40,42,807,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
