"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5690,1818,10244,1,"","","","",3
1,5691,1818,10245,1,"","","","",0
2,5692,1818,10246,1,"","","","",0
3,5693,1818,10248,1,"","","","",0
4,5694,1818,10247,1,"","","","",0
5,5695,1818,10249,1,"","","","",0
6,5696,1818,10250,1,"","","","",0
7,5697,1818,10251,1,"","","","",0
8,5698,1,10269,1,"","","","",0
9,5699,1818,10270,1,"","","","",0
10,5700,1818,10271,1,"","","","",0
11,5701,1818,10272,1,"","","","",0
12,5714,2100,10273,2,"","","","",0
13,5702,2100,12017,2,"","","","",0
14,5703,2100,12013,2,"","","","",0
15,5704,2100,12016,2,"","","","",0
16,5705,2100,12018,2,"","","","",0
17,5706,2100,12014,2,"","","","",0
18,5707,350,12025,2,"","","","",0
19,5708,350,12025,2,"","","","",0
20,5709,350,12024,2,"","","","",0
21,5710,350,12024,2,"","","","",0
22,5711,350,12026,2,"","","","",0
23,5712,350,12026,2,"","","","",0
24,5713,2100,12022,2,"","","","",0
25,5715,2400,12015,3,"","","","",0
26,5716,2400,12023,3,"","","","",0
27,5717,2400,12021,3,"","","","",0
28,5718,2400,12027,3,"","","","",0
29,5719,2400,12019,3,"","","","",0
30,5720,800,12020,3,"","","","",0
31,5721,800,12020,3,"","","","",0
32,5722,800,12020,3,"","","","",0
33,5723,2400,12012,3,"","","","",0
34,5724,100,"",4,"","","","",0
