"rownum","MonsterPacksKey","i32","i32","i32","i32","i32","bool"
0,2477,75,0,0,0,0,""
1,2478,75,0,0,0,0,""
2,2479,75,0,0,0,0,""
3,2480,75,0,0,0,0,""
4,2481,75,0,0,0,0,""
5,2482,75,0,0,0,0,""
6,2483,75,0,0,0,0,""
7,2484,75,0,0,0,0,""
8,2485,75,0,0,0,0,""
9,2486,75,0,0,0,0,""
10,2487,75,0,0,0,0,""
11,2488,75,0,0,0,0,""
12,2489,75,0,0,0,0,""
13,2490,75,0,0,0,0,""
14,2491,75,0,0,0,0,""
15,2492,75,0,0,0,0,""
16,2493,75,0,0,0,0,""
17,2494,75,0,0,0,0,""
18,2495,75,0,0,0,0,""
19,2496,75,0,0,0,0,""
20,2497,75,0,0,0,0,""
21,2498,75,0,0,0,0,""
22,2499,75,0,0,0,0,1
23,2500,160,120,0,0,1,1
24,2501,75,0,0,0,0,""
25,2502,75,0,0,0,0,""
26,2503,75,0,0,0,0,""
27,2504,75,0,0,0,0,""
28,2505,75,0,0,0,0,""
29,2506,75,0,0,0,0,""
