"rownum","rid","rid","bool","i32","bool","bool","bool"
0,16271,29,1,0,1,"",""
1,16275,30,1,0,1,"",""
2,16276,30,1,0,1,"",""
3,17645,33,1,0,1,"",""
4,16884,37,"",16777216,1,1,""
5,17687,40,"",16777216,"","",""
6,17895,39,"",16777216,"","",""
7,17972,42,"",0,"","",""
8,18398,51,"",16777216,"","",""
9,18461,53,"",16777216,1,1,""
10,18521,54,"",0,1,"",""
11,18548,55,"",0,"","",""
12,18759,56,"",0,1,"",""
13,18761,57,"",0,"","",""
14,18777,58,"",0,1,"",""
15,18866,60,"",0,1,"",""
16,18874,61,"",0,1,"",""
17,18875,61,"",0,1,"",""
18,18877,62,"",0,1,"",""
19,18900,63,1,0,1,"",""
20,18738,65,"",0,1,"",""
21,18737,65,"",0,1,"",""
22,18735,68,"",0,1,"",""
23,18975,70,"",0,1,"",""
24,19030,74,"",16777216,1,1,""
25,19050,75,1,0,1,"",""
26,19056,76,1,0,1,"",""
27,19058,86,1,0,1,1,1
28,19059,86,1,0,1,1,1
29,19088,77,"",0,1,"",""
30,19177,78,"",0,1,"",""
31,19250,86,1,16777216,1,1,1
32,19352,81,"",0,1,"",""
33,19517,84,"",0,1,"",""
34,19606,87,"",16777216,1,1,""
35,19751,90,1,16777216,1,1,""
36,20162,93,1,16777216,1,"",""
37,20210,94,"",0,"","",""
