"rownum","ModsKey","i32","i32","i32"
0,22594,2,9,100
1,22595,10,14,100
2,22596,15,20,100
3,22604,21,30,50
4,22597,2,9,100
5,22598,10,14,100
6,22599,15,30,100
7,22510,15,30,10
8,22511,15,30,10
9,22512,15,30,10
10,22513,10,14,0
11,22514,15,30,0
12,22515,10,14,0
13,22516,15,30,0
14,22517,10,14,0
15,22518,15,30,0
16,22519,10,14,20
17,22520,15,30,20
18,22521,5,14,35
19,22522,15,30,35
20,22523,5,9,50
21,22524,10,15,50
22,22525,15,30,50
23,22526,2,9,25
24,22527,10,14,25
25,22528,15,20,25
26,22609,21,30,25
27,22529,5,9,25
28,22530,10,14,25
29,22531,15,30,25
30,22532,5,9,25
31,22533,10,14,25
32,22534,15,30,25
33,22535,2,9,25
34,22536,10,14,25
35,22537,15,20,25
36,22610,21,30,25
37,22538,5,9,25
38,22539,10,14,25
39,22540,15,30,25
40,22541,5,9,25
41,22542,10,14,25
42,22543,15,30,25
43,22544,2,9,25
44,22545,10,14,25
45,22546,15,20,25
46,22607,21,30,25
47,22547,5,9,25
48,22548,10,14,25
49,22549,15,30,25
50,22550,5,9,25
51,22551,10,14,25
52,22552,15,30,25
53,22553,2,9,25
54,22554,10,14,25
55,22555,15,20,25
56,22608,21,30,25
57,22556,10,14,25
58,22557,15,17,25
59,22558,15,30,25
60,22559,5,9,25
61,22560,10,14,25
62,22561,15,30,25
63,22562,2,9,25
64,22563,10,14,25
65,22564,15,20,25
66,22611,21,30,25
67,22565,10,14,25
68,22566,15,17,25
69,22567,18,30,25
70,22568,10,14,20
71,22569,15,30,20
72,22570,2,9,20
73,22571,10,14,20
74,22572,15,30,20
75,22573,10,14,10
76,22574,15,17,10
77,22575,15,30,10
78,22576,2,9,100
79,22577,10,14,100
80,22578,15,30,100
81,22579,10,14,25
82,22580,15,30,25
83,22581,10,14,25
84,22582,15,30,25
85,22583,10,14,25
86,22584,15,30,25
87,22585,10,14,0
88,22586,15,30,0
89,22587,10,14,10
90,22588,15,20,10
91,22606,21,30,10
92,22589,10,14,10
93,22590,15,30,10
94,22591,2,9,30
95,22592,10,14,30
96,22593,15,30,30
97,22600,2,9,40
98,22601,10,14,40
99,22602,15,20,40
100,22605,21,30,40
