"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"MapEndlessLedge",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Descent",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Labyrinth",5,30,20,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,100,0,0,0,0,0,0
4,"LabyrinthBoss",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LabyrinthBossEnd",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
6,"SideAreaEarly",5,0,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0
7,"SideArea",5,10,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0
8,"1_1_2",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,0,100,20,0,0,0,0,0
9,"1_1_2a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
10,"1_1_3",0,0,0,4,0,240,0,20,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,20,100,0,0,0,0
11,"1_1_3a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
12,"1_1_4_0",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,20,100,0,0,0,0
13,"1_1_4_1",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,20,100,0,0,0,0
14,"1_1_5",0,0,0,4,0,320,0,15,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,20,100,0,0,0,0
15,"1_1_6",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,20,100,0,0,0,0
16,"1_1_7_1",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,20,0,0,100,0,100,100,20,100,0,0,0,0
17,"1_1_7_2",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,51,18,0,100,0,100,100,20,100,0,0,0,0
18,"1_1_8",0,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,100,100,20,100,0,0,0,0
19,"1_1_9",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,16,36,12,0,100,0,100,100,20,100,0,0,0,0
20,"1_1_9a",5,0,0,4,0,320,0,20,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,36,12,0,100,0,100,100,20,100,0,0,0,0
21,"1_1_11_1",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,100,100,20,100,0,0,0,0
22,"1_1_11_2",5,0,0,4,0,320,0,20,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0,100,0,100,100,20,100,0,0,0,0
23,"1_2_1",5,0,0,4,0,516,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,100,100,18,100,12,0,0,0
