"rownum","Width","Height","i32","Item"
0,1,1,0,5225
1,1,2,0,5226
2,1,3,0,5227
3,1,4,0,5228
4,2,1,0,5229
5,2,2,0,5230
6,2,3,0,5231
7,2,4,0,5232
8,3,1,0,5235
9,3,2,0,5233
10,3,3,0,5234
11,4,1,0,5236
12,1,1,1,5259
13,1,2,1,5260
14,1,3,1,5261
15,1,4,1,5262
16,2,1,1,5263
17,2,2,1,5264
18,2,3,1,5265
19,2,4,1,5266
20,3,1,1,5268
21,3,2,1,5267
22,4,1,1,5269
23,1,1,2,5237
24,1,2,2,5238
25,1,3,2,5239
26,1,4,2,5240
27,2,1,2,5241
28,2,2,2,5242
29,2,3,2,5243
30,2,4,2,5244
31,3,2,2,5245
32,3,1,2,5246
33,4,1,2,5247
34,1,1,3,5248
35,1,2,3,5249
36,1,3,3,5250
37,1,4,3,5251
38,2,1,3,5252
39,2,2,3,5253
40,2,3,3,5254
41,2,4,3,5255
42,3,2,3,5256
43,3,1,3,5257
44,4,1,3,5258
