"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid"
0,3726,[9012],"[9013,9189,9188,9193]","[9014,9105,9190,9192]",10,100,1000,"",144,[],[],9014
1,3727,[9015],"[9016,9189,9188,9193]","[9017,9103,9190,9192]",6,100,2500,"",144,[],[],9017
2,3728,[9018],"[9019,9189,9188,9193]","[9020,9105,9190,9192]",10,100,1000,3182,144,[],[],9020
3,3729,[9021],"[9022,9189,9188,9193]","[9023,9105,9190,9192]",10,100,1000,"",144,[],[],9023
4,3730,[9050],"[9051,9189,9188,9193]","[9052,9106,9190,9192]",30,100,500,"",144,[],[],9052
5,3731,[9063],"[9064,9189,9188,9193]","[9065,9105,9190,9192]",15,100,1000,"",8,[],[],9065
6,3732,"[9030,9031]","[9032,9189,9188,9193]","[9033,9105,9190,9192]",15,100,1000,1929,144,[],[],9033
7,3733,[9056],"[9057,9189,9188,9193]","[9058,9105,9190,9192]",6,100,1000,"",144,[],[],9058
8,3734,[9024],"[9025,9189,9188,9193]","[9026,9105,9190,9192]",20,100,1000,"",144,[],[],9026
9,3735,[9027],"[9028,9189,9188,9193]","[9029,9106,9190,9192]",30,100,500,289,144,[],[],9029
10,3736,[9034],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,2500,"",144,[],[],9036
11,3737,[9037],"[9038,9189,9188,9193]","[9039,9103,9040,9190,9192]",1,100,2500,"",144,[],[],9039
12,3738,[],"[9041,9189,9188,9193]","[9042,9106,9190,9192]",60,100,1,"",144,[],[],9042
13,3739,[9043],"[9044,9189,9188,9193]","[9045,9106,9190,9192]",60,100,500,"",144,[],[],9045
14,3740,[9047],"[9048,9189,9188,9193]","[9049,9103,9190,9192]",1,100,2500,"",144,[],[],9049
15,3741,[9053],"[9054,9189,9188,9193]","[9055,9103,9190,9192]",6,100,2500,"",144,[],[],9055
16,3742,"[9059,9060]","[9061,9189,9188,9193]","[9062,9105,9190,9192]",20,100,1000,45,144,[],[],9062
17,3743,[9066],"[9067,9189,9188,9193]","[9068,9106,9190,9192]",40,100,500,"",10,[],[],9068
18,3744,[9072],"[9073,9189,9188,9193]","[9074,9105,9190,9192]",20,100,1000,"",144,[],[],9074
19,3745,[9075],"[9076,9189,9188,9193]","[9077,9103,9190,9192]",1,100,2500,"",144,[],[],9077
20,3746,[9079],"[9080,9189,9188,9193]","[9081,9105,9190,9192]",10,100,1000,"",144,[],[],9081
21,3747,[9082],"[9084,9189,9188,9193]","[9085,9083,9106,9190,9192]",40,100,500,"",144,[],[],9085
22,3750,[9086],"[9087,9189,9188,9193]","[9102,9088,9106,9190,9192]",1,100,0,"",144,[],[],9102
23,3748,[9089],"[9090,9189,9188,9193]","[9091,9104,9191,9192]",1,100,0,"",144,[],[],9091
24,3749,[9092],"[9093,9189,9188,9193]","[9094,9104,9191,9192]",1,100,0,"",144,[],[],9094
25,3751,[9095],"[9096,9189,9188,9193]","[9097,9103,9190,9192]",1,100,0,"",144,[],[],9097
26,3752,[9095],"[9096,9189,9188,9193]","[9098,9103,9190,9192]",1,100,0,"",144,[],[],9098
27,3753,[9095],"[9096,9189,9188,9193]","[9099,9103,9190,9192]",1,100,0,"",144,[],[],9099
28,3754,[9095],"[9096,9189,9188,9193]","[9100,9103,9190,9192]",1,100,0,"",144,[],[],9100
29,3755,[9095],"[9096,9189,9188,9193]","[9101,9103,9190,9192]",1,100,0,"",144,[],[],9101
30,3756,[20351],"[20352,9189,9188,9193]","[20353,9106,9190,9192]",68,100,0,3991,144,[],[],20353
31,3757,[20348],"[20349,9189,9188,9193]","[20350,9106,9190,9192]",68,100,0,"",144,[],[],20350
32,3758,[20354],"[20355,9189,9188,9193]","[20356,9106,9190,9192]",68,100,0,"",144,[],[],20356
33,7593,[],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,0,"",144,[],[],9036
34,7594,[],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,0,"",144,[],[],9036
35,7595,[],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,0,"",144,[],[],9036
36,7596,[],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,0,"",144,[],[],9036
37,7597,[],"[9035,9189,9188,9193]","[9036,9103,9190,9192]",1,100,0,"",144,[],[],9036
