"rownum","rid","string","string","rid"
0,7150,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRed","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRedAlt",""
1,7151,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreen","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreenAlt",""
2,7152,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_Blue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_BlueAlt",""
3,7153,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismatic","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismaticAlt",""
4,7154,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
5,7155,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
6,7156,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
7,7157,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
8,7158,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegion","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegionAlt",""
9,7159,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltPurple",219
10,7160,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltBlue",218
11,7161,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltRed",217
12,11149,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedBear","",542
13,11150,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedWolf","",543
14,11151,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedCat","",544
