"rownum","rid","rid","i32"
0,9281,4551,241092318
1,9740,4552,-689546065
2,9743,4553,-325229012
3,11866,4554,-1063459755
4,11087,4555,75060906
5,12103,4556,-1546708750
6,10534,4557,-662122049
7,12101,4558,-1222371971
8,11182,4559,-1473032832
9,9528,4560,-1989133468
10,12100,4561,-1868712728
11,11070,4562,359955857
12,11065,4563,1311467939
13,11837,4564,-974544988
14,10532,4565,-829142474
15,11185,4566,1238657137
16,10531,4567,1556548718
17,12099,4568,898977981
18,12098,4569,1852863866
19,12102,4570,-1926555720
20,11100,4571,-1097381000
21,11085,4572,-447349213
22,11835,4573,-1707305483
23,11099,4574,1881520832
24,9283,4575,809946488
25,9476,4576,-161837024
26,11187,4577,1438706210
27,11864,4578,-1810728202
28,11068,4579,79690690
29,11790,4580,1470875728
30,9288,4581,-1454885063
31,11865,4582,-1136793470
32,12104,4583,-845083795
33,11793,4584,-1617665736
34,9472,4585,1589443200
35,9527,4586,217182782
36,11101,4587,-1054218304
37,9290,4588,-1934913649
38,9282,4589,-2144854266
39,11183,4590,-961543441
40,10530,4591,-10258181
41,9746,4592,178471226
42,9783,4593,-679831597
43,9596,4594,-551198725
44,7221,4595,823943942
45,9747,4596,1695138765
46,9632,4597,1042835715
47,11862,4598,-1187591138
48,11066,4599,-1804003392
49,11083,4600,2144048919
50,9598,4601,2105666940
51,11127,4602,-833557100
52,9533,4603,2019732113
53,9293,4604,-1298118145
54,9776,4605,-1836970706
55,9591,4606,179196667
56,9625,4607,-1209413694
57,9586,4608,-1352400808
58,9633,4609,-1582580517
59,9631,4610,-320557881
60,9589,4611,1998717565
61,9475,4612,-1696045501
62,9745,4613,581689
63,9583,4614,-994766805
64,11789,4615,1121449463
65,9778,4616,988602414
66,9749,4617,-1890125108
67,9587,4618,1670272265
68,9779,4619,1061245871
69,9599,4620,-1563579594
70,9588,4621,-837436368
71,9629,4622,-1313379392
72,9595,4623,591994908
73,11097,4624,-651769882
74,9782,4625,-1624983573
75,9775,4626,-1899326666
76,9780,4627,1064830047
77,9592,4628,1606123339
78,9630,4629,-886237039
79,9286,4630,757782947
80,9628,4631,-1647971224
81,11834,4632,-1980116762
82,9781,4633,2137168354
83,11861,4634,-1869137618
84,9741,4635,-373197846
85,11067,4636,-886386091
86,9536,4637,-875129113
87,9600,4638,-526910390
88,9626,4639,-823223660
89,9773,4640,-1175504486
90,9535,4641,1281500251
91,9774,4642,-2011908844
92,9284,4643,354591994
93,11082,4644,1894967284
94,10533,4645,1053791753
95,11186,4646,267878817
96,11086,4647,-1384579337
97,11836,4648,-137543231
98,9534,4649,1681370264
99,11832,4650,1527329667
100,9276,4651,1321370010
101,9744,4652,1282291954
102,9634,4653,-244634798
103,9584,4654,-1904121572
104,9285,4655,-1292623951
105,9287,4656,1412694076
106,11833,4657,1097432357
107,11788,4658,269078685
108,10529,4659,1939001032
109,9481,4660,-236396037
110,11863,4661,-1542459129
111,9478,4662,355093100
112,11098,4663,-244270725
113,11184,4664,2020276108
114,9590,4665,791923414
115,11791,4666,-152564983
116,9627,4667,845586367
117,11096,4668,1030607070
118,9279,4669,1428447258
119,9480,4670,1662453964
120,9474,4671,1086159006
121,9473,4672,-1243592460
122,9477,4673,1720992431
123,12247,4674,656298985
124,12248,4675,582388939
125,9479,4676,-1330428925
126,11084,4677,10691341
127,11792,4678,-755425869
128,9278,4679,-1442511853
129,9280,4680,1506993028
130,9532,4681,670027263
131,9585,4682,893483974
132,9748,4683,556899756
133,9277,4684,948244203
134,9531,4685,309564985
135,9597,4686,644717207
136,9777,4687,201423924
137,11069,4688,-425516541
138,9529,4689,1890357588
139,9530,4690,-1603423061
140,9289,4691,788156195
141,9742,4692,-1957681611
142,13680,4693,2045753637
143,7235,4694,-128896791
144,7631,4695,1955122677
145,7199,4696,962398136
146,7338,4697,577143885
147,7416,4698,918643125
148,9184,4699,229705408
149,11180,4700,-1063709812
150,11267,4701,1730251011
151,9594,4702,1218467030
152,9185,4703,-1450684016
153,9636,4704,-829065843
154,11268,4705,615496637
155,10535,4706,951233410
156,11181,4707,-1970844477
157,7417,4708,700761527
158,7339,4709,998675723
