"rownum","MTX","Tier","Description","DDSFile","i32","string"
0,4370,1,"Orb of Transmutation","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds",42,""
1,4370,2,"Orb of Augmentation","Art/2DItems/Currency/CurrencyAddModToMagic.dds",43,""
2,4370,3,"Orb of Alteration","Art/2DItems/Currency/CurrencyRerollMagic.dds",55,""
3,4370,4,"Orb of Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds",44,""
4,4370,5,"Orb of Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds",45,""
5,4370,6,"Chaos Orb","Art/2DItems/Currency/CurrencyRerollRare.dds",46,""
6,4370,7,"Orb of Scouring","Art/2DItems/Currency/CurrencyConvertToNormal.dds",53,""
7,4370,8,"Orb of Regret","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds",48,""
8,4370,9,"Blessed Orb","Art/2DItems/Currency/CurrencyImplicitMod.dds",49,""
9,4370,10,"Vaal Orb","Art/2DItems/Currency/CurrencyVaal.dds",47,""
10,4370,11,"Orb of Annulment","Art/2DItems/Currency/AnnullOrb.dds",56,""
11,4370,12,"Exalted Orb","Art/2DItems/Currency/CurrencyAddModToRare.dds",51,""
12,4370,13,"Divine Orb","Art/2DItems/Currency/CurrencyModValues.dds",52,""
13,4370,14,"Mirror of Kalandra","Art/2DItems/Currency/CurrencyDuplicate.dds",54,""
14,4455,1,"Fire","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
15,4455,2,"Cold","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
16,4455,3,"Lightning","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
17,4455,4,"Shifting","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
18,4478,1,"Fire","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolFire"
19,4478,2,"Cold","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolCold"
20,4478,3,"Lightning","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolLightning"
21,4478,4,"Shifting","",57,"Art/2DArt/UIImages/InGame/MicrotransactionPanel/ElemancerSymbolShifting"
22,4515,1,"Base","",57,""
23,4515,2,"Flair","",57,""
24,4515,3,"Lotus Blood","",57,""
25,4515,4,"Body Flowers","",57,""
26,4515,5,"Shadows","",57,""
27,4513,1,"Base","",57,""
28,4513,2,"Footprints","",57,""
29,4514,1,"Base","",57,""
30,4514,2,"Flair","",57,""
31,4514,3,"Lotus on Kill","",57,""
32,4512,1,"Flower","",57,""
33,4512,2,"Hat","",57,""
34,4512,3,"Full Head","",57,""
35,4512,4,"Lotus Life","",57,""
36,4491,1,"No on Kill","",57,""
37,4491,2,"On Kill","",57,""
