"rownum","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","string","bool"
0,"",0,0,0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon",1
1,1,0,0,0,0,16777216,184549376,0,0,0,16777216,"",""
2,1,0,0,0,16777216,33554432,285212672,0,0,0,16777216,"",""
3,1,0,0,0,33554432,50331648,201326592,0,0,0,16777216,"",""
4,1,0,0,0,50331648,67108864,268435456,0,0,0,16777216,"",""
5,1,0,0,0,67108864,83886080,134217728,0,0,0,16777216,"",""
6,1,0,0,0,83886080,100663296,117440512,0,0,0,16777216,"",""
7,1,0,0,0,100663296,117440512,33554432,0,0,0,16777216,"",""
8,1,0,0,0,117440512,134217728,251658240,0,0,0,16777216,"",""
9,1,0,0,0,134217728,150994944,536870912,0,0,0,16777216,"",""
10,1,0,0,0,150994944,167772160,553648128,0,0,0,16777216,"",""
11,1,0,0,0,167772160,184549376,486539264,0,0,0,16777216,"",""
12,1,0,0,0,184549376,201326592,520093696,0,0,0,16777216,"",""
13,1,0,0,0,201326592,218103808,503316480,0,0,0,16777216,"",""
14,1,0,0,0,218103808,234881024,150994944,0,0,0,16777216,"",""
15,1,0,0,0,234881024,251658240,218103808,0,0,0,16777216,"",""
16,1,0,0,0,251658240,268435456,637534208,0,0,0,16777216,"",""
17,1,0,0,0,268435456,285212672,335544320,47,0,0,16777216,"",""
18,1,0,0,0,285212672,301989888,570425344,0,0,0,16777216,"",""
19,1,0,0,0,301989888,318767104,100663296,0,0,0,16777216,"",""
