"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,9705,0,45
1,9706,1,0
2,9707,2,0
3,9708,3,0
4,9727,0,0
5,9709,4,0
6,9710,5,0
7,9711,6,45
8,9712,7,0
9,9713,8,0
10,9728,1,0
11,9729,8,0
12,9730,1,0
13,9731,7,0
14,9732,3,0
15,9733,0,0
16,9734,5,0
17,9735,2,0
18,9736,2,0
19,9737,7,0
20,9738,8,0
21,9739,3,0
22,9740,0,0
23,9741,0,0
24,9742,2,0
25,9743,7,0
26,9744,4,0
27,9745,7,0
28,9746,7,0
29,9747,0,0
30,9748,1,0
31,9749,1,0
32,9750,3,0
33,9751,1,0
34,9752,7,0
35,9753,1,0
36,9754,8,0
37,9755,8,0
38,9756,2,81
39,9757,8,0
40,9758,8,0
41,9759,8,0
42,9760,8,81
