"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot"
0,"Metadata/Items/Currency/CurrencyEssenceHatred1",74,480,183,0,1,1,1
1,"Metadata/Items/Currency/CurrencyEssenceHatred2",75,408,183,1,1,1,1
2,"Metadata/Items/Currency/CurrencyEssenceHatred3",76,335,183,2,1,1,1
3,"Metadata/Items/Currency/CurrencyEssenceHatred4",77,263,183,3,1,1,1
4,"Metadata/Items/Currency/CurrencyEssenceHatred5",78,190,183,4,1,1,1
5,"Metadata/Items/Currency/CurrencyEssenceHatred6",79,117,183,5,1,1,1
6,"Metadata/Items/Currency/CurrencyEssenceHatred7",80,44,183,6,1,1,""
7,"Metadata/Items/Currency/CurrencyEssenceWoe1",81,480,256,7,1,1,1
8,"Metadata/Items/Currency/CurrencyEssenceWoe2",82,408,256,8,1,1,1
9,"Metadata/Items/Currency/CurrencyEssenceWoe3",83,335,256,9,1,1,1
10,"Metadata/Items/Currency/CurrencyEssenceWoe4",84,263,256,10,1,1,1
11,"Metadata/Items/Currency/CurrencyEssenceWoe5",85,190,256,11,1,1,1
12,"Metadata/Items/Currency/CurrencyEssenceWoe6",86,117,256,12,1,1,1
13,"Metadata/Items/Currency/CurrencyEssenceWoe7",87,44,256,13,1,1,""
14,"Metadata/Items/Currency/CurrencyEssenceGreed1",88,480,38,14,1,1,1
15,"Metadata/Items/Currency/CurrencyEssenceGreed2",89,408,38,15,1,1,1
16,"Metadata/Items/Currency/CurrencyEssenceGreed3",90,335,38,16,1,1,1
17,"Metadata/Items/Currency/CurrencyEssenceGreed4",91,263,38,17,1,1,1
18,"Metadata/Items/Currency/CurrencyEssenceGreed5",92,190,38,18,1,1,1
19,"Metadata/Items/Currency/CurrencyEssenceGreed6",93,117,38,19,1,1,1
20,"Metadata/Items/Currency/CurrencyEssenceGreed7",94,44,38,20,1,1,""
21,"Metadata/Items/Currency/CurrencyEssenceContempt1",95,480,111,21,1,1,1
22,"Metadata/Items/Currency/CurrencyEssenceContempt2",96,408,111,22,1,1,1
23,"Metadata/Items/Currency/CurrencyEssenceContempt3",97,335,111,23,1,1,1
24,"Metadata/Items/Currency/CurrencyEssenceContempt4",98,263,111,24,1,1,1
25,"Metadata/Items/Currency/CurrencyEssenceContempt5",99,190,111,25,1,1,1
26,"Metadata/Items/Currency/CurrencyEssenceContempt6",100,117,111,26,1,1,1
27,"Metadata/Items/Currency/CurrencyEssenceContempt7",101,44,111,27,1,1,""
28,"Metadata/Items/Currency/CurrencyEssenceSorrow1",102,408,547,28,1,1,1
29,"Metadata/Items/Currency/CurrencyEssenceSorrow2",103,335,547,29,1,1,1
30,"Metadata/Items/Currency/CurrencyEssenceSorrow3",104,263,547,30,1,1,1
31,"Metadata/Items/Currency/CurrencyEssenceSorrow4",105,190,547,31,1,1,1
32,"Metadata/Items/Currency/CurrencyEssenceSorrow5",106,117,547,32,1,1,1
