"rownum","Width","Height","i32","Item"
0,1,1,0,4972
1,1,2,0,4973
2,1,3,0,4974
3,1,4,0,4975
4,2,1,0,4976
5,2,2,0,4977
6,2,3,0,4978
7,2,4,0,4979
8,3,1,0,4982
9,3,2,0,4980
10,3,3,0,4981
11,4,1,0,4983
12,1,1,1,5006
13,1,2,1,5007
14,1,3,1,5008
15,1,4,1,5009
16,2,1,1,5010
17,2,2,1,5011
18,2,3,1,5012
19,2,4,1,5013
20,3,1,1,5015
21,3,2,1,5014
22,4,1,1,5016
23,1,1,2,4984
24,1,2,2,4985
25,1,3,2,4986
26,1,4,2,4987
27,2,1,2,4988
28,2,2,2,4989
29,2,3,2,4990
30,2,4,2,4991
31,3,2,2,4992
32,3,1,2,4993
33,4,1,2,4994
34,1,1,3,4995
35,1,2,3,4996
36,1,3,3,4997
37,1,4,3,4998
38,2,1,3,4999
39,2,2,3,5000
40,2,3,3,5001
41,2,4,3,5002
42,3,2,3,5003
43,3,1,3,5004
44,4,1,3,5005
