"rownum","InfluenceMod","UpgradedMod","bool"
0,14714,24605,1
1,14715,24606,1
2,14716,14717,""
3,14717,24607,1
4,14718,14719,""
5,14719,24608,1
6,14720,14721,""
7,14721,24609,1
8,14722,24610,1
9,14724,24611,1
10,14726,14727,""
11,14727,24612,1
12,14728,14729,""
13,14729,24613,1
14,14730,24614,1
15,14731,14732,""
16,14732,24615,1
17,14733,14734,""
18,14734,24616,1
19,14735,14736,""
20,14736,24617,1
21,14737,14738,""
22,14738,24618,1
23,14739,14740,""
24,14740,24619,1
25,14741,14742,""
26,14742,24620,1
27,14743,14744,""
28,14744,24621,1
29,14745,14746,""
30,14746,24622,1
31,14747,14748,""
32,14748,24623,1
33,14749,14750,""
34,14750,24624,1
35,20735,20736,""
36,20736,24625,1
37,20811,20812,""
38,20812,24626,1
39,20813,24627,1
40,20817,20818,""
41,20818,24630,1
42,20819,24631,1
43,20820,20821,""
44,20821,24632,1
45,20822,20823,""
46,20823,24633,1
47,20824,20825,""
48,20825,24634,1
49,20826,24635,1
50,20827,24636,1
51,20828,20829,""
52,20829,20830,""
53,20830,24637,1
54,20831,20832,""
55,20832,24638,1
56,20833,24639,1
57,20834,20835,""
58,20835,24640,1
59,20836,20837,""
60,20837,24641,1
61,20838,24642,1
62,20839,20840,""
63,20840,24643,1
64,20841,24644,1
65,20842,24645,1
66,20843,24646,1
67,20844,20845,""
68,20845,24647,1
69,20846,24648,1
70,20847,20848,""
71,20848,24649,1
72,20849,20850,""
73,20850,24650,1
74,20851,20852,""
75,20852,24651,1
76,20853,20854,""
77,20854,24652,1
78,20855,20856,""
79,20856,24653,1
80,20857,24655,1
81,20858,24656,1
82,20859,20860,""
83,20860,24657,1
84,20861,20862,""
85,20862,24658,1
86,20863,20864,""
87,20864,24659,1
88,20865,20866,""
89,20866,24660,1
90,14647,14648,""
91,14648,14649,""
92,14649,24661,1
93,14650,14651,""
94,14651,14652,""
95,14652,24662,1
96,14653,14654,""
97,14654,24663,1
98,14655,14656,""
99,14656,14657,""
100,14657,24664,1
101,14658,14659,""
102,14659,14660,""
103,14660,24665,1
104,14664,14665,""
105,14665,14666,""
106,14666,24667,1
107,14667,14668,""
108,14668,14669,""
109,14669,24668,1
110,14670,14671,""
111,14671,14672,""
112,14672,24669,1
113,14673,14674,""
114,14674,14675,""
115,14675,24670,1
116,14676,14677,""
117,14677,14678,""
118,14678,24671,1
119,14679,14680,""
120,14680,14681,""
121,14681,24672,1
122,14682,14683,""
123,14683,24673,1
124,14684,24674,1
125,14685,14686,""
126,14686,14687,""
127,14687,24675,1
128,14688,14689,""
129,14689,14690,""
130,14690,24676,1
131,14691,14692,""
132,14692,14693,""
133,14693,24677,1
134,14694,14695,""
135,14695,14696,""
136,14696,24678,1
137,14697,14698,""
138,14698,14699,""
139,14699,24679,1
140,14700,14701,""
141,14701,24680,1
142,14702,14703,""
143,14703,24681,1
144,14704,14705,""
145,14705,24682,1
146,14706,14707,""
147,14707,14708,""
148,14708,24683,1
149,14709,14710,""
150,14710,14711,""
151,14711,24684,1
152,14712,24685,1
153,14713,24686,1
154,20624,20625,""
155,20625,24687,1
156,20731,20732,""
157,20732,24688,1
158,20737,20738,""
159,20738,24690,1
160,20739,24691,1
161,20740,20741,""
162,20741,24692,1
163,20742,20743,""
164,20743,24693,1
165,20744,24694,1
166,20745,20746,""
167,20746,20747,""
168,20747,24695,1
169,20748,20749,""
170,20749,20750,""
171,20750,24696,1
172,20751,20752,""
173,20752,20753,""
174,20753,24697,1
175,20754,24698,1
176,20755,20756,""
177,20756,24699,1
178,20757,20758,""
179,20758,20759,""
180,20759,24700,1
181,20760,20761,""
182,20761,24701,1
183,20762,24702,1
184,20763,20764,""
185,20764,20765,""
186,20765,24703,1
187,20766,20767,""
188,20767,24704,1
189,20768,24705,1
190,20769,20770,""
191,20770,20771,""
192,20771,24706,1
193,20772,20773,""
194,20773,24707,1
195,20774,20775,""
196,20775,24708,1
197,20776,24709,1
198,20777,24710,1
199,20778,20780,""
200,20780,24711,1
201,20782,20783,""
202,20783,24713,1
203,20784,20785,""
