"rownum","BaseItemTypesKey","Block"
0,5487,24
1,5488,23
2,5489,26
3,5490,25
4,5491,24
5,5492,23
6,5493,25
7,5494,26
8,5495,25
9,5496,24
10,5497,23
11,5498,25
12,5499,26
13,5500,25
14,5501,24
15,5502,23
16,5503,25
17,5504,25
18,5505,27
19,5506,29
20,5507,25
21,5508,26
22,5509,24
23,5510,27
24,5511,26
25,5512,25
26,5513,26
27,5514,24
28,5515,27
29,5516,26
30,5517,25
31,5518,26
32,5519,24
33,5520,27
34,5521,26
35,5522,25
36,5523,24
37,5524,26
38,5525,28
39,5526,22
40,5527,24
41,5528,22
42,5529,24
43,5530,23
44,5531,25
45,5532,24
46,5533,22
47,5534,24
48,5535,23
49,5536,25
50,5537,24
51,5538,22
52,5539,24
53,5540,23
54,5541,25
55,5542,22
56,5543,24
57,5544,26
58,5545,24
59,5546,24
60,5547,27
61,5548,26
62,5549,25
63,5550,24
64,5551,27
65,5552,26
66,5553,25
67,5554,24
68,5555,27
69,5556,26
70,5557,25
71,5558,22
72,5559,24
73,5560,26
74,5561,24
75,5562,22
76,5563,24
77,5564,26
78,5565,24
79,5566,22
80,5567,24
81,5568,26
82,5569,24
83,5570,22
84,5571,24
85,5572,24
86,5573,25
87,5574,26
88,5575,24
89,5576,24
90,5577,25
91,5578,26
92,5579,24
93,5580,24
94,5581,25
95,5582,26
96,5583,24
97,5584,20
