"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC","","","",1,[0],[1],18329,"","","",1,0,"M",""
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC","","","",1,[2],[3],16035,"","","",1,11,"F",""
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC","","","",1,[4],[],56488,"","","",1,33,"M",""
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC","","","",1,[],[],31831,"","","",1,"","M",""
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",1,[],[5],39720,"","","",1,"","M",""
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves",0,[],[],47303,"","","",1,"","M",""
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC","","","",1,[],[],48620,"","","",1,"","M",""
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC","","","Brutus",1,[],[],45035,"","","",1,"","M",""
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC","","","",1,[],[],20647,"","","",1,"","F",""
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC","","","",2,[6],[7],5275,"","","",1,"","M",""
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC","","","",2,[8],[9],66,"","","",1,12,"F",""
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC","","","",2,[10],[11],60311,"","","",1,1,"M",""
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC","","","",2,[12],[],60264,"","","",1,34,"M",""
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Metadata/NPC/NPC","","","",2,[],[],52862,"","","",1,"","F",""
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Metadata/NPC/NPC","","","",2,[],[],22072,"","","",1,"","M",""
15,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Metadata/NPC/NPC","","","",2,[],[],6319,"","","",1,"","M",""
16,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC","","","",3,[14],[15],54708,"","","",1,2,"M",""
17,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[17],12298,"","","",1,"","F",""
18,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[],1838,"","","",1,"","F",""
19,"Metadata/NPC/Act3/Maramoa","Maramoa","Metadata/NPC/NPC",843,"","",3,[18],[19],20488,"","","",1,35,"F",""
20,"Metadata/NPC/Act3/Grigor","Grigor","Metadata/NPC/NPC","","","",3,[20],[21],57890,"","","",1,"","M",""
21,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Metadata/NPC/NPC","","","",3,[22],[23],32620,"","","",1,13,"F",""
22,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Metadata/NPC/NPC","","","",3,[],[],58342,"","","",1,"","F",""
23,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Metadata/NPC/Info/StoryGlyphBase",542,"","",1,[],[],10734,"","","",1,"","",""
24,"Metadata/NPC/Act2/HelenaTown","Helena","Metadata/NPC/NPC","",3,"",2,[24],[25],18941,"","","",1,"","F",""
25,"Metadata/NPC/Act2/HelenaSins","Helena","Metadata/NPC/NPC","",3,"",2,[],[],22927,"","","",1,"","F",""
26,"Metadata/NPC/Act3/Siosa","Siosa","Metadata/NPC/NPC",844,"","",3,[26],[27],4688,"","","",1,31,"M",""
27,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",3,[28],[],34430,"","","",1,"","M",""
28,"Metadata/NPC/Piety","Piety","Metadata/NPC/NPC","","","",0,[],[],26069,"","","",1,"","F",""
29,"Metadata/NPC/Gravicius","Gravicius","Metadata/NPC/NPC","","","",0,[],[],4169,"","","",1,"","M",""
30,"Metadata/NPC/Dominus","Dominus","Metadata/NPC/NPC","","","",0,[],[],1936,"","","",1,"","M",""
31,"Metadata/NPC/Act4/Kaom","King Kaom","Metadata/NPC/NPC","","","Kaom",0,[],[],47573,"","","",1,"","M",""
32,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Metadata/NPC/NPC","","","Maligaro",0,[],[],49964,"","","",1,"","M",""
33,"Metadata/NPC/Act4/Shavronne","Shavronne","Metadata/NPC/NPC","","","",0,[],[],17132,"","","",1,"","F",""
34,"Metadata/NPC/Act4/Malachai","Malachai","Metadata/NPC/NPC","","","",0,[],[],44799,"","","",1,"","M",""
35,"Metadata/NPC/Act4/Daresso","Daresso","Metadata/NPC/NPC","","","",0,[],[],15106,"","","",1,"","M",""
36,"Metadata/NPC/Oba","Oba","Metadata/NPC/NPC","","","",0,[],[],8075,"","","",1,"","M",""
