"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name","SynthesisAreaSizeKey","AchievementItemsKey"
0,"AcidCave_Small",6,50,100,2252,[1530],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Limestone Hollow Memory",0,""
1,"ArachnidTomb_Small",56,100,0,2253,[1532],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Infested Tomb Memory",0,""
2,"Antiquary_Small",46,50,100,2305,[1531],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Collection Memory",0,""
3,"Baths_Small",59,100,0,2313,"[1551,1552]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","State Palace Memory",0,""
4,"Bazaar_Small",28,50,100,2316,[1535],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Exchange Memory",0,""
5,"Beach_Small",6,50,100,2319,[1536],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory",0,""
6,"Causeway_Small",56,100,0,2325,[1538],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","River Crossing Memory",0,""
7,"Cave_Small",6,50,100,2254,[1539],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Eroded Chamber Memory",0,""
8,"CaveMine_Small",17,50,100,2328,[1553],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Abandoned Shaft Memory",0,""
9,"Colosseum_Small",40,50,100,2255,"[1625,1626,1627,1628,1629]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Bloodsoaked Arena Memory",0,""
10,"ControlBlocks_Small",43,50,100,2338,[1541],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Slave Blocks Memory",0,""
11,"DriedLake_Small",36,50,100,2256,[1630],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DriedLake","Salted Earth Memory",0,""
12,"Fissure_Small",39,50,100,2350,[1544],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fissure","Aftermath Memory",0,""
13,"Forest_Small",15,50,100,2352,"[1554,1555,1556]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Forest","Woods Memory",0,""
