"rownum","Item","TriggeredQuestFlag","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9899,2284,"",225,"",[],"","","",1323,"","",""
1,9900,1870,"",351,"",[],"","","",1323,"","",""
2,9901,1869,"",352,"",[],"","","",1323,"","",""
3,9908,2301,"",979,"",[],"",1,888,1323,"","",""
4,9909,2302,"",980,"",[],"",1,888,1323,"","",""
5,9910,2303,"",981,"",[],"",1,888,1323,"","",""
6,9911,2304,"",982,"",[],"",1,888,1323,"","",""
7,6135,2583,"",1156,"",[],"","",903,1323,"","",""
8,6136,2584,"",1157,"",[],"","",904,1323,"","",""
9,6137,2594,"",1160,"",[],"","",905,1323,"","",""
10,10444,953,"",207,"",[],"",1,890,1323,"","",""
11,10446,954,"",212,"",[],"",1,6146,1323,"","",""
12,10448,955,"",323,"",[],"",1,891,1323,"","",""
13,10450,956,"",328,"",[],"",1,6147,1323,"","",""
14,6039,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,6040,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,6041,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,6042,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,6043,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,6044,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,6138,1518,1516,1323,1516,[],"","",906,1323,"","sentinel_controller",""
21,10582,2160,"",416,"",[],"","",908,1323,"","",""
