"rownum","StatsKey","TagsKeys","bool_32","i32_33","bool_37","bool_38","bool_39","i32_40"
0,10607,[658],1,0,1,"","",0
1,10608,[34],1,0,1,"","",0
2,10609,[319],1,0,1,"","",0
3,10610,[317],1,0,1,"","",0
4,10611,[660],1,0,1,"","",0
5,10612,[633],1,0,1,"","",0
6,10613,[634],1,0,1,"","",0
7,10614,"[659,706]",1,0,1,"","",0
8,10615,[324],1,0,1,"","",0
9,10616,[625],1,0,1,"","",0
10,2464,[319],"",1,"","","",0
11,2463,[34],"",1,"","","",0
12,12407,[313],1,0,"","","",0
13,12408,[309],1,0,"","","",0
14,12409,[311],1,0,"","","",0
15,12410,[310],1,0,"","","",0
16,12411,[312],1,0,"","","",0
17,12412,[661],1,0,"","","",0
18,12413,[323],1,0,"","","",0
19,12414,[324],1,0,"","","",0
20,12415,[625],1,0,"","","",0
21,12416,[634],1,0,"","","",0
22,12417,[636],1,0,"","","",0
23,12418,[632],1,0,"","","",0
24,12468,[316],1,0,"","","",0
25,12511,[317],1,0,"","","",0
26,12512,[633],1,0,"","","",0
27,12813,[],1,0,"","","",0
28,13971,[712],1,0,"","","",0
29,18113,[320],1,0,"","","",0
30,18114,[658],1,0,"","","",0
31,18115,"[659,706]",1,0,"","","",0
32,3850,[],"",0,1,"","",0
33,19485,[],1,0,"","",1,0
34,19486,[],1,0,"",1,"",0
35,20367,[],"",0,1,"","",1
36,20369,[],"",0,1,"","",2
37,20615,[],1,0,1,"","",0
