"rownum","UniqueBase","i32_16"
0,363,1
1,364,2
2,365,3
3,367,4
4,368,5
5,371,6
6,374,7
7,377,8
8,380,9
9,390,10
10,392,11
11,393,12
12,398,13
13,401,14
14,403,15
15,404,16
16,407,17
17,408,18
18,409,19
19,410,20
20,411,21
21,412,22
22,420,23
23,422,24
24,425,25
25,427,26
26,429,27
27,432,28
28,438,29
29,439,30
30,441,31
31,442,32
32,443,33
33,449,34
34,451,35
35,454,36
36,458,37
37,466,38
38,469,39
39,470,40
40,471,41
41,478,42
42,480,43
43,482,44
44,484,45
45,485,46
46,491,47
47,493,48
48,496,49
49,497,50
50,498,51
51,499,52
52,500,53
53,501,54
54,507,55
55,509,56
56,510,57
57,511,58
58,517,59
59,528,60
60,533,61
61,535,62
62,538,63
63,542,64
64,545,65
65,550,66
66,553,67
67,561,68
68,565,69
69,566,70
70,568,71
71,570,72
72,573,73
73,576,74
74,577,75
75,578,76
76,579,77
77,580,78
78,581,79
79,582,80
80,587,81
81,588,82
82,589,83
83,591,84
84,593,85
85,594,86
86,602,87
87,606,88
88,607,89
89,608,90
90,609,91
91,610,92
92,616,93
93,619,94
94,621,95
95,622,96
96,626,97
97,627,98
98,628,99
99,631,100
100,632,101
101,633,102
102,634,103
103,635,104
104,636,105
105,646,106
106,647,107
107,650,108
108,652,109
109,654,110
110,657,111
111,659,112
112,661,113
113,662,114
114,663,115
115,664,116
116,671,117
117,673,118
118,674,119
119,679,120
120,681,121
121,685,122
122,686,123
123,688,124
124,689,125
125,697,126
126,698,127
127,699,128
128,703,129
129,704,130
130,707,131
131,709,132
132,712,133
133,713,134
134,714,135
135,719,136
136,836,137
137,837,138
138,839,139
139,847,140
140,849,141
141,850,142
142,855,143
143,856,144
144,858,145
145,862,146
146,866,147
147,867,148
148,876,149
149,877,150
150,878,151
151,881,152
152,882,153
153,884,154
154,887,155
155,888,156
156,892,157
157,894,158
158,900,159
159,901,160
160,904,161
161,905,162
162,911,163
163,912,164
164,914,165
165,915,166
166,916,167
167,917,168
168,924,169
169,925,170
170,929,171
171,930,172
