"rownum","IntId","MinimapIconsKey","string_20","MiscAnimatedKey","f32_44","Id"
0,0,177,"",3122,3,"LegionRewardCurrency"
1,1,192,"",3123,3,"LegionRewardUniques"
2,2,182,"",3124,3,"LegionRewardGems"
3,3,186,"",3125,3,"LegionRewardMaps"
4,4,191,"",3126,3,"LegionRewardTrinkets"
5,5,174,"",3127,3,"LegionRewardArmour"
6,6,193,"",3128,3,"LegionRewardWeapon"
7,7,173,"",3121,3,"LegionRewardAbyss"
8,8,184,"",3130,3,"LegionRewardHarbinger"
9,9,176,"",3131,3.5,"LegionRewardBreach"
10,10,179,"",3132,3,"LegionRewardEssences"
11,11,179,"",3132,3,"LegionRewardEssences"
12,12,181,"",3133,3,"LegionRewardFragments"
13,13,189,"",3134,3,"LegionRewardScarabs"
14,14,180,"",3135,3,"LegionRewardFossils"
15,15,178,"",3137,3.5,"LegionRewardDivination"
16,16,183,"",3138,3,"LegionRewardGeneric"
17,17,190,"",3140,3,"LegionRewardTalismans"
18,18,194,"",3142,3,"LegionRewardIncubators"
19,19,194,"",3142,3,"LegionRewardIncubators"
20,20,194,"",3142,3,"LegionRewardIncubators"
21,21,194,"",3142,3,"LegionRewardIncubators"
22,22,194,"",3142,3,"LegionRewardIncubators"
