"rownum","Id","ItemVisualIdentity","ItemClass","i32_40"
0,"UniqueOneHandSword1",7901,9,1
1,"UniqueBow2",7910,13,1
2,"UniqueWand4",9882,8,1
3,"UniqueClaw4",9672,6,3
4,"UniqueStaff4",9919,14,4
5,"UniqueStaff9",10839,14,4
6,"UniqueBow4",8963,13,5
7,"UniqueDagger11",11608,7,5
8,"UniqueOneHandAxe3",9915,11,6
9,"UniqueRapier1",8942,10,7
10,"UniqueBow8",9484,13,9
11,"UniqueOneHandSword12",11617,9,10
12,"UniqueOneHandMace6",11619,12,10
13,"UniqueTwoHandSword2",7920,15,12
14,"UniqueClaw9",11613,6,12
15,"UniqueWand12",12161,8,24
16,"UniqueTwoHandAxe3",8966,16,13
17,"UniqueStaff13",11612,57,13
18,"UniqueDagger12",11609,7,15
19,"UniqueOneHandAxe7",11615,11,16
20,"UniqueTwoHandMace1",7916,17,17
21,"UniqueRapier2",9667,10,17
22,"UniqueDagger3",8956,56,20
23,"UniqueOneHandMace1",8961,12,20
24,"UniqueOneHandMace7",11620,12,20
25,"UniqueOneHandSword16",12229,9,20
26,"UniqueTwoHandMace7",9792,17,22
27,"UniqueOneHandSword7",10066,10,22
28,"UniqueTwoHandSword7",10318,15,22
29,"UniqueClaw6",9675,6,26
30,"UniqueRapier5",12588,10,26
31,"UniqueTwoHandMace2",7917,17,27
32,"UniqueOneHandSword4",9763,9,28
33,"UniqueBow11",10062,13,28
34,"UniqueOneHandSword13",11618,9,28
35,"UniqueOneHandAxe6",11451,11,29
36,"UniqueDagger2",7944,7,30
37,"UniqueWand9",11525,8,30
38,"UniqueBow3",7914,13,32
39,"UniqueOneHandMace8",11621,12,32
40,"UniqueTwoHandAxe2",8940,16,33
41,"UniqueClaw2",8987,6,34
42,"UniqueTwoHandMace10",12223,17,40
43,"UniqueSceptre1",8984,32,41
44,"UniqueSceptre2",9604,32,41
45,"UniqueRapier4",12231,10,43
46,"UniqueTwoHandSword1",7919,15,44
47,"UniqueDagger13",12225,56,44
48,"UniqueTwoHandAxe4",9483,16,45
49,"UniqueClaw8",11457,6,46
50,"UniqueOneHandClaw12",12207,6,46
51,"UniqueOneHandSword18",12263,9,47
52,"UniqueOneHandMace10",12227,12,50
53,"UniqueTwoHandSword3",8941,15,51
54,"UniqueStaff18",12733,14,52
55,"UniqueBow7",8976,13,53
56,"UniqueOneHandSword5",9826,9,53
57,"UniqueTwoHandMace4",8967,17,54
58,"UniqueTwoHandAxe14",12221,16,55
59,"UniqueSceptre10",11448,32,72
60,"UniqueWand11",12145,8,59
61,"UniqueTwoHandMace3",8951,17,57
62,"UniqueTwoHandAxe1",7900,16,58
63,"UniqueDagger8",9921,56,58
64,"UniqueOneHandSword11",11452,9,58
65,"UniqueWand1",8947,8,59
66,"UniqueOneHandAxe1",9695,11,65
67,"UniqueTwoHandSword10",12413,15,59
68,"UniqueOneHandMace4",11446,12,60
69,"UniqueOneHandSword19",12404,9,60
70,"UniqueClaw18",12808,6,60
71,"UniqueDagger16",12809,7,60
72,"UniqueDagger21",12874,7,60
73,"UniqueTwoHandSword11",12443,15,61
74,"UniqueBow5",8965,13,62
75,"UniqueBow6",8970,13,62
76,"UniqueClaw3",9638,6,62
77,"UniqueOneHandSword6",10063,9,62
78,"UniqueTwoHandAxe16",13019,16,62
79,"UniqueTwoHandMace11",12446,17,77
80,"UniqueOneHandAxe10",12849,11,63
81,"UniqueOneHandSword3",9684,9,64
82,"UniqueBow10",9802,13,64
83,"UniqueDagger9",10111,56,64
84,"UniqueTwoHandAxe10",12131,16,64
85,"UniqueOneHandSword17",12238,9,64
86,"UniqueOneHandAxe5",9907,11,65
87,"UniqueTwoHandSword8",10825,15,65
88,"UniqueTwoHandMace12",12712,17,65
89,"UniqueBow1",7906,13,66
90,"UniqueClaw1",8978,6,66
91,"UniqueBow9",9771,13,70
92,"UniqueOneHandMace5",11447,12,66
93,"UniqueClaw10",12079,6,66
94,"UniqueTwoHandAxe15",12708,16,66
95,"UniqueDagger17",12979,56,66
96,"UniqueTwoHandMace6",9761,17,67
97,"UniqueTwoHandSword6",9823,15,67
98,"UniqueStaff7",10070,57,71
99,"UniqueBow15",12251,13,68
100,"UniqueClaw14",12411,6,68
101,"UniqueOneHandSword20",12447,9,77
102,"UniqueBow17",12561,13,77
103,"UniqueTwoHandAxe13",12673,16,68
104,"UniqueOneHandSword24",12775,9,68
105,"UniqueOneHandAxe2",9847,11,69
106,"UniqueClaw13",12246,6,70
107,"UniqueClaw15",12564,6,77
108,"UniqueStaff20",12799,14,66
109,"UniqueStaff27",12859,57,60
110,"UniqueStaff22",13014,57,64
111,"UniqueStaff24",13135,57,68
112,"UniqueOneHandSword29",13066,9,56
113,"UniqueOneHandSword30",13067,9,56
114,"UniqueOneHandSword31",13481,9,62
115,"UniqueTwoHandSword12",12569,15,67
116,"UniqueTwoHandSword13",12569,15,67
117,"UniqueTwoHandSword14",14133,15,67
118,"UniqueDagger20",12855,7,60
119,"UniqueBow18",12608,13,58
120,"UniqueBow19",12609,13,58
121,"UniqueBow22",13189,13,57
122,"UniqueBow23",14079,13,58
123,"UniqueBow21",12999,13,75
124,"UniqueBow20",12980,13,62
125,"UniqueBow16",12428,13,64
126,"UniqueTwoHandAxe7",10035,16,64
127,"UniqueTwoHandAxe9",11535,16,66
