"rownum","Id","Tag","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰",515,8995,10199,10655
1,"cold","Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷",516,8996,10200,10656
2,"lightning","Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電",517,8997,10201,10657
3,"chaos","Chaos","Chaos","Chaos","混沌","카오스","Caos","Хаос","Caos","เคออส","混沌",518,8998,10202,10658
4,"spell","Spell","Sort","Zauber","スペル","주문","Magia","Чары","Hechizo","เวท","法術",520,"","",""
5,"projectile","Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","โพรเจกไทล์","投射物",519,9006,"",""
6,"bow","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓箭",522,9000,"",""
7,"melee","Melee","Mêlée","Nahkampf","近接","근접","Corpo a Corpo","Ближний бой","Cuerpo a cuerpo","ประชิด","近戰",521,8999,"",20649
8,"minion","Minion","Créature","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物",523,8994,"",""
9,"strength","","","","","","","","","","",754,9002,"",10660
10,"dexterity","","","","","","","","","","",755,9003,"",10661
11,"intelligence","","","","","","","","","","",756,9004,"",10662
12,"aura","Aura","Aura","Aura","オーラ","오라","Aura","Аура","Aura","ออร่า","光環",1059,9001,"",""
13,"attack","Attack","Attaque","Angriff","アタック","공격","Ataque","Атака","Ataque","โจมตี","攻擊","","","",""
14,"area","AoE","Zone","Wirkungsbereich","範囲効果","효과 범위","Área","Область","AdE","พื้นที่","範圍效果",7896,9005,"",""
15,"duration","Duration","Durée","Dauer","持続時間","지속시간","Duração","Длится","Duración","ช่วงเวลา","持續時間",7895,"","",""
16,"support","Support","Soutien","Unterstützung","サポート","보조","Suporte","Поддержка","Asistencia","เสริม","輔助",2216,2429,"",""
