"rownum","Id","[rid]_8","rid_24","[i32]_40","StatsKeys","StatValues","i32_88","bool_92"
0,"InnerTreasure",[7225],"",[],[],[],0,""
1,"DropVaalItem",[7232],"",[],[],[],0,""
2,"AlwaysIgnite",[],"",[],"[4987,610]","[1,100]",0,""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],0,""
4,"Maimed",[],498,"[-30,1]",[],[],0,""
5,"AlwaysShock",[],"",[],"[4986,658]","[1,100]",0,""
6,"TormentedExperimenterPossess","[9118,9209,9294,9296]","",[],[],[],0,""
7,"TormentedBlasphemerPossess","[9121,9207,9294,9296]","",[],[],[],0,""
8,"TormentedNecromancerPossess","[9124,9209,9294,9296]","",[],[],[],0,""
9,"TormentedArsonistPossess","[9127,9209,9294,9296]","",[],[],[],0,""
10,"TormentedThiefPossess","[9156,9210,9294,9296]","",[],[],[],0,""
11,"TormentedMutilatorPossess","[9169,9209,9294,9296]","",[],[],[],0,""
12,"TormentedCharlatanPossess","[9137,9209,9294,9296]","",[],[],[],0,""
13,"TormentedCannibalPossess","[9162,9209,9294,9296]","",[],[],[],0,""
14,"TormentedPoisonerPossess","[9130,9209,9294,9296]","",[],[],[],0,""
15,"TormentedCorrupterPossess","[9133,9210,9294,9296]","",[],[],[],0,""
16,"TormentedThugPossess","[9140,9207,9294,9296]","",[],[],[],0,""
17,"TormentedRoguePossess","[9143,9207,9144,9294,9296]","",[],[],[],0,""
18,"TormentedFishermanPossess","[9146,9210,9294,9296]","",[],[],[],0,""
19,"TormentedLibrarianPossess","[9149,9210,9294,9296]","",[],[],[],0,""
20,"TormentedCutthroatPossess","[9153,9207,9294,9296]","",[],[],[],0,""
21,"TormentedSpyPossess","[9159,9207,9294,9296]","",[],[],[],0,""
22,"TormentedMartyrPossess","[9166,9209,9294,9296]","",[],[],[],0,""
23,"TormentedEmbezzlerPossess","[9172,9210,9294,9296]","",[],[],[],0,""
24,"TormentedCounterfeiterPossess","[9178,9209,9294,9296]","",[],[],[],0,""
25,"TormentedWarlordPossess","[9181,9207,9294,9296]","",[],[],[],0,""
26,"TormentedFreezerPossess","[9185,9209,9294,9296]","",[],[],[],0,""
27,"TormentedSmugglerPossess","[9189,9187,9210,9294,9296]","",[],[],[],0,""
28,"MapSupporterEssenceDaemon","[35731,35732,35733,35734,35735,35736,35737,35738,35739]","",[],[],[],1,""
29,"MonsterSupporterEnrageDaemon",[35740],"",[],[],[],0,""
30,"MonsterUberMapShaperTouched",[5868],"",[],[],[],0,""
31,"MonsterScarabUberScarab5",[18738],"",[],[],[],0,""
32,"MonsterScarabUniqueMonsterModScarab","[32223,32224,32225,32226,32227,32228,32229,32230,32231,32232,32233,32234,32235,32236,32237,32238,32239,32240,32241,32242,32243,32244,32245,32246,32247,32249,32250,32251,32252,32253,32254,32255,32256,32257,32258,32259,32260,32261,32262,32263,32264,32265,32266,32267,32268,32269,32270,32271,32272,32273,32274,32275,32280,32281,32282,32287,32288,32290,32292,32293,32295,32296,32298,32299,32300,32301,32302,32303,32304,32305,32306,32307,32308,32309,32311,32312,32313,32314,32316,32318,32319,32320,32321,32322,32323,32326,32327,32328,32330,32331,32332,32334,32335,32336,32337,32338,32339]","",[],[],[],2,1
