"rownum","Id","rid_4","rid_20","i32_36","string_40","bool_48","i32_49","bool_53","i32_54","i32_58","rid_62","rid_78","i32_94","bool_98","i32_99","i32_103"
0,0,102,2339,40,"root","",0,"",0,0,"","",0,"",2,2
1,1,191,3058,40,"R_Weapon","",30,"",0,0,"","",0,"",2,2
2,2,281,4238,20,"mouth_fx_mid",1,0,"",20,78,"","",0,"",2,2
3,3,281,4238,20,"mouth_fx_mid","",30,"",0,0,"","",0,"",2,2
4,4,476,5814,18,"facelaser",1,20,1,0,0,"","",0,"",2,2
5,5,109,"",36,"root",1,0,"",0,0,"","",0,"",2,2
6,6,109,"",20,"root",1,0,"",0,0,"","",0,"",2,2
7,7,389,4985,15,"aux_lantern",1,0,"",20,78,"","",0,"",2,2
8,8,446,5443,20,"aux_laser",1,0,"",20,78,"","",0,"",2,2
9,9,461,5640,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,"",2,2
10,10,507,6383,20,"death_beam","",0,"",0,0,508,6384,30,1,2,2
11,11,559,6858,18,"stone_jntBnd",1,0,"",0,78,"","",5,"",1,0
