"rownum","Id","ScriptArgs","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","rid_40"
0,"Recruitment","deco_recruitment","Recruitment","Recrutement","Rekrutierung","人材募集","모집","Recrutamento","Найм","Reclutamiento","การเกณฑ์แรงงาน","召募","Art/2DArt/UIImages/InGame/Village/JobIcons/RecruitJobIcon","Town Improvements","Améliorations de la Ville","Verbesserung der Stadt","改善 - 街","마을 향상","Melhorias à Cidade","Улучшения города","Mejorar la ciudad","พัฒนาเมือง","城鎮優化",""
1,"Mining","deco_mining","Mining","Minage","Bergbau","採掘","채광","Minerando","Добыча руды","Minería","การขุดแร่","開採","Art/2DArt/UIImages/InGame/Village/JobIcons/MiningJobIcon","Mining Improvements","Améliorations de Minage","Verbesserung des Bergbaus","改善 - 採掘","채광 향상","Melhorias de Mineração","Улучшения горного дела","Mejorar la minería","พัฒนาการขุดแร่","開採優化",1
2,"Smithing","deco_smithing","Smelting","Fonte","Verhüttung","製錬","제련","Derretendo","Переплавка","Fundición","การถลุงแร่","冶煉","Art/2DArt/UIImages/InGame/Village/JobIcons/SmithingJobIcon","Smelting Improvements","Améliorations de Fonte","Verbesserung der Verhüttung","改善 - 製錬","제련 향상","Melhorias da Fundição","Улучшения переплавки","Mejorar la fundición","พัฒนาการถลุงแร่","冶煉優化",2
3,"Farming","deco_farming","Farming","Agriculture","Landwirtschaft","農業","경작","Cultivando","Фермерство","Agricultura","การเพาะปลูก","耕種","Art/2DArt/UIImages/InGame/Village/JobIcons/FarmingJobIcon","Farming Improvements","Améliorations d'Agriculture","Verbesserung der Landwirtschaft","改善 - 農業","경작 향상","Melhorias da Agricultura","Улучшения фермерства","Mejorar la agricultura","พัฒนาการเพาะปลูก","耕種優化",3
4,"Shipping","deco_shipping","Shipping","Navigation","Schiffstransport","輸送","운송","Exportando","Мореходство","Comercio","การขนส่ง","運送","Art/2DArt/UIImages/InGame/Village/JobIcons/ShippingJobIcon","Shipping Improvements","Améliorations de Navigation","Verbesserung des Schiffstransports","改善 - 輸送","운송 향상","Melhorias da Exportação","Улучшения мореходства","Mejorar el comercio","พัฒนาการขนส่ง","運輸優化",6
5,"Disenchanting","deco_disenchanting","Disenchanting","Désenchantement","Entzauberung","解呪","인챈트 해제","Desencantando","Распыление","Desencantamiento","การสลายไอเทม","破幻","Art/2DArt/UIImages/InGame/Village/JobIcons/DisenchantingJobIcon","Disenchanting Improvements","Améliorations de Désenchantement","Verbesserung der Entzauberung","改善 - 解呪","인챈트 해제 향상","Melhorias do Desencantamento","Улучшения распыления","Mejorar el desencantamiento","พัฒนาการสลายไอเทม","破幻優化",4
6,"Mapping","deco_mapping","Mapping","Exploration de Carte","Kartenlauf","マッピング","지도 탐험","Mapeando","Картоходство","Exploración","การบุกแผนที่","刷圖","Art/2DArt/UIImages/InGame/Village/JobIcons/MapRunningJobIcon","Mapping Improvements","Améliorations d'Exploration de Carte","Verbesserung des Kartenlaufs","改善 - マッピング","지도 탐험 향상","Melhorias do Mapeamento","Улучшения картоходства","Mejorar la exploración","พัฒนาการบุกแผนที่","刷圖優化",5
7,"Runecrafting","deco_runecrafting","Runesmithing","Artisanat forgerunique","Runenschmiedekunst","ルーンスミス","룬 제작","Forjando com Runas","Руноделие","Forja de runas","การสลักอักขระ","魔符鍛造","Art/2DArt/UIImages/InGame/Village/JobIcons/RuneCraftingJobIcon","Runesmithing Improvements","Améliorations d'Artisanat forgerunique","Verbesserung des Runenschmiedens","改善 - ルーンスミス","룬 제작 향상","Melhorias da Forja com Runas","Улучшения руноделия","Mejorar la forja de runas","พัฒนาการสลักอักขระ","魔符鍛造優化",""
8,"Recombinating","deco_recombinating","Recombinating","Recombinaison","Rekombination","リコンビネート","재조합","Recombinando","Рекомбинирование","Recombinación","การผสมไอเทม","重組","Art/2DArt/UIImages/InGame/Village/JobIcons/RecombinateJobIcon","Recombinating Improvements","Améliorations de Recombinaison","Verbesserung der Rekombination","改善 - リコンビネート","재조합 향상","Melhorias da Recombinação","Улучшения рекомбинирования","Mejorar la recombinación","พัฒนาการผสมไอเทม","重組優化",""
9,"Fishing","deco_fishing","Fishing","Pêche","Fischen","漁業","낚시","Pescando","Рыбалка","Pesca","การตกปลา","釣魚","Art/2DArt/UIImages/InGame/Village/JobIcons/FishingJobIcon","Fishing Improvements","Améliorations de Pêche","Verbesserung des Fischens","改善 - 漁業","낚시 향상","Melhorias da Pescaria","Улучшения рыбалки","Mejorar la pesca","พัฒนาการตกปลา","釣魚優化",""
10,"IdolGambling","deco_idol_gambling","Black Market","Marché noir","Schwarzmarkt","闇市場","암시장","Mercado Negro","Чёрный рынок","Mercado negro","ตลาดมืด","黑市","Art/2DArt/UIImages/InGame/Village/JobIcons/GamblingJobIcon","Black Market Improvements","Améliorations du Marché noir","Verbesserung des Schwarzmarkts","改善 - 闇市場","암시장 개선","Melhorias do Mercado Negro","Улучшения чёрного рынка","Mejorar el mercado negro","พัฒนาการตลาดมืด","黑市優化",""
