"rownum","BaseItemTypesKey","bool_16","[rid]_17"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,31,"",[]
6,32,"",[]
7,33,"",[]
8,34,"",[]
9,218,"",[]
10,219,"",[]
11,220,"",[]
12,221,"",[]
13,222,"",[]
14,223,"",[]
15,224,"",[]
16,225,"",[]
17,226,"",[]
18,227,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,25,"",[]
24,26,"",[]
25,9,1,[]
26,13,1,[]
27,29,1,[]
28,45,1,[]
29,19,1,[]
30,27,"",[]
31,1120,1,[]
32,211,1,[]
33,1085,1,[]
34,1086,1,[]
35,1087,1,[]
36,1088,1,[]
37,1089,1,[]
38,1090,1,[]
39,1092,1,[]
40,1091,1,[]
41,207,1,[]
42,208,1,[]
43,204,1,[]
44,205,1,[]
45,206,1,[]
46,194,1,[]
47,195,1,[]
48,196,1,[]
49,197,1,[]
50,198,1,[]
51,5,1,[]
52,1607,1,[]
53,1608,1,[]
54,1609,1,[]
55,1125,1,[]
56,1126,1,[]
57,1127,1,[]
58,1128,1,[]
59,1129,1,[]
60,1130,1,[]
61,18,1,[]
62,38,1,[]
63,15,1,[]
64,212,1,[]
65,213,1,[]
66,1098,1,[]
67,1099,1,[]
68,1100,1,[]
69,1101,1,[]
70,1102,1,[]
71,1103,1,[]
72,1104,1,[]
73,1105,1,[]
74,1106,1,[]
75,1107,1,[]
76,1156,1,[]
77,1157,1,[]
78,1160,1,[]
79,1161,1,[]
