"rownum","Id","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","i32_100","i32_104","i32_108","i32_112","i32_116","i32_120","i32_124","i32_128","i32_132","i32_136","i32_140","i32_144","i32_148","i32_152"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"MapEndlessLedge",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Descent",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Labyrinth",5,30,20,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0,0,0,100,0,0,0,0,0,0,0
4,"LabyrinthBoss",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LabyrinthBossEnd",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
6,"SideAreaEarly",5,0,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0,0
7,"SideArea",5,10,0,4,0,94,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0,0
8,"1_1_2",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,0,0,0,0,0,8
9,"1_1_2a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0
10,"1_1_3",0,0,0,4,0,240,0,20,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,100,0,0,0,0,8
11,"1_1_3a",0,0,0,4,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0
12,"1_1_4_0",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,100,0,0,0,0,8
13,"1_1_4_1",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,100,0,0,0,0,8
14,"1_1_5",0,0,0,4,0,320,0,15,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,100,0,0,0,0,8
15,"1_1_6",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,8,100,20,100,0,0,0,0,8
16,"1_1_7_1",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,20,0,0,100,0,8,100,20,100,0,0,0,0,8
17,"1_1_7_2",0,0,0,4,0,320,0,20,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,51,18,0,100,0,8,100,20,100,0,0,0,0,8
