"rownum","BlightTowersKey","i32_16","MonsterVarietiesKey","Cost","i32_40"
0,0,1,7749,0,0
1,1,1,7750,100,0
2,2,1,7751,150,0
3,3,1,7752,300,0
4,4,1,7753,500,0
5,5,1,7754,500,0
6,6,11,7755,100,0
7,7,11,7756,150,0
8,8,11,7757,300,0
9,9,11,7758,500,0
10,10,11,7759,500,0
11,11,15,7760,100,0
12,12,15,7761,150,0
13,13,15,7762,300,0
14,14,15,7763,500,0
15,15,15,7764,500,0
16,16,15,7765,100,0
17,17,15,7766,150,0
18,18,15,7767,300,0
19,19,15,7768,500,0
20,20,15,7769,500,0
21,21,6,7770,100,0
22,22,6,7771,150,0
23,23,6,7772,300,0
24,24,6,7773,500,0
25,25,6,7774,500,0
26,26,1,7775,100,0
27,27,1,7776,150,0
28,28,1,7777,300,0
29,29,1,7778,500,0
30,30,1,7779,500,0
