"rownum","BaseItemTypesKey","HeistAreasKey","i32_32"
0,3747,0,45
1,3748,1,0
2,3749,2,0
3,3750,3,0
4,3769,0,0
5,3751,4,0
6,3752,5,0
7,3753,6,45
8,3754,7,0
9,3755,8,0
10,3770,1,0
11,3771,8,0
12,3772,1,0
13,3773,7,0
14,3774,3,0
15,3775,0,0
16,3776,5,0
17,3777,2,0
18,3778,2,0
19,3779,7,0
20,3780,8,0
21,3781,3,0
22,3782,0,0
23,3783,0,0
24,3784,2,0
25,3785,7,0
26,3786,4,0
27,3787,7,0
28,3788,7,0
29,3789,0,0
30,3790,1,0
31,3791,1,0
32,3792,3,0
33,3793,1,0
34,3794,7,0
35,3795,1,0
36,3796,8,0
37,3797,8,0
38,3798,2,81
39,3799,8,0
40,3800,8,0
41,3801,8,0
42,3802,8,81
