"rownum","Id","bool_8","bool_9","rid_10","[rid]_26","rid_42","rid_58","rid_74","[rid]_90","rid_106","rid_122","i32_138","bool_142","rid_143","bool_159","bool_160","[rid]_161","bool_177"
0,"Anarchy",1,1,16935,[1849],16976,13762,"","[2233,3255]",5450,"",10,"",1388,"","",[],""
1,"Shrine",1,1,16936,[],16977,13759,"","[2454,9820,9819,20605,20611]",5611,"",10,"","",1,"",[],""
2,"VaalSideArea",1,1,16937,[],13588,"",2312,[5825],"","",1,"","",1,"",[2312],""
3,"Ambush",1,1,16938,[2520],16978,"","",[2453],5654,"",2,"","","","",[],""
4,"Beyond",1,1,"",[],16452,"","",[],"","",1,"","","",1,[],""
5,"Torment",1,1,16939,[2768],16979,13758,"","[2769,3256]",5577,"",10,"","","","",[],""
6,"Essence",1,1,16940,[],16980,15462,"","[4868,5591]",5462,"",10,"","","","",[],""
7,"Breach","",1,16101,[9250],13269,"",17009,"[5457,5590]",5456,"",3,"","","","",[17009],1
8,"Harbinger",1,1,"",[16663],13760,"","",[6291],"","",10,"","","","",[],""
9,"Abyss",1,"",16100,[9250],13704,"",17007,[6629],"","",10,"","","","",[17007],1
10,"MasterMission",1,1,"",[2334],"","","",[4929],"","",1,"","",1,1,[],""
11,"Bestiary",1,1,"",[2334],19794,"",13764,[19847],"","",1,"","","",1,[13764],""
12,"Incursion","",1,"",[2334],19795,"",13767,[19848],"","",1,"","",1,1,[13767],""
13,"Delve","",1,"",[2334],19797,"",13765,[19850],"","",1,"","",1,1,[13765],""
14,"Betrayal","",1,"",[2334],19796,"",13766,[19851],"","",1,"","",1,1,[13766],""
15,"Legion","",1,16103,[],13481,"",17013,[9323],"","",1,"","",1,"",[17013],1
16,"Blight",1,1,16105,[],13618,15848,17008,[10020],"","",1,"","",1,"",[17008],1
17,"Delirium","",1,16108,[],13610,"",17010,[12429],"","",1,"","","","",[17010],1
18,"Harvest","",1,16099,[],13279,"",17012,[11757],"","",1,"","",1,"",[17012],1
19,"Heist","",1,16107,[],13644,"",13583,"[13206,14112]","","",1,"","","","",[13583],1
20,"Ritual",1,"",16106,[],14001,"",17015,[14000],"","",1,"","","","",[17015],1
21,"Expedition","",1,16102,[],14681,"",17011,[14167],"","",1,"","","",1,[17011],1
22,"Sanctum","",1,"",[],"","","",[16929],"","",1,1,"",1,"",[],""
23,"Crucible","",1,"",[],"","","",[17657],"","",1,1,"",1,"",[],""
24,"Ultimatum","","",18953,[],18954,"",18955,[18956],"","",1,"","",1,1,[18955],1
25,"Azmeri","",1,"",[],"","","",[18957],"","",1,1,"",1,1,[],""
26,"Sentinel",1,1,"",[],"","","",[20863],"","",1,1,"","","",[],""
