"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","MinAreaLevel","i32_62","MapFragmentLimit","bool_70","[rid]_71"
0,2835,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
1,2836,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
2,2837,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
3,2838,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
4,2840,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
5,2841,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
6,2842,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
7,2843,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
8,2850,[8349],[],139,"","","","",1,"",1,100,1,"",[]
9,2851,[8349],[],139,"","","","",1,"",1,100,1,"",[]
10,2852,[8349],[],139,"","","","",1,"",1,100,1,"",[]
11,2853,[8349],[],139,"","","","",1,"",1,100,1,"",[]
12,2855,[8350],[],139,"","","","",1,"",1,100,1,"",[]
13,2856,[8350],[],139,"","","","",1,"",1,100,1,"",[]
14,2857,[8350],[],139,"","","","",1,"",1,100,1,"",[]
15,2858,[8350],[],139,"","","","",1,"",1,100,1,"",[]
16,2860,[8351],[],139,"","","","",1,"",1,100,1,"",[]
17,2861,[8351],[],139,"","","","",1,"",1,100,1,"",[]
18,2862,[8351],[],139,"","","","",1,"",1,100,1,"",[]
19,2863,[8351],[],139,"","","","",1,"",1,100,1,"",[]
20,2865,[8352],[],139,"","","","",1,"",1,100,1,"",[]
21,2866,[8352],[],139,"","","","",1,"",1,100,1,"",[]
22,2867,[8352],[],139,"","","","",1,"",1,100,1,"",[]
23,2868,[8352],[],139,"","","","",1,"",1,100,1,"",[]
24,2870,[8353],[],139,"","","","","","",1,100,1,"",[]
25,3494,[18536],[7006],1,1,"","","","","",1,100,1,"",[1]
26,3495,[18537],[7006],1,1,"","","","","",1,100,1,"",[1]
27,3496,[18538],[7006],1,1,"","","","","",1,100,1,"",[1]
28,3497,[18539],"[7006,7144]",1,1,"","","","","",1,100,1,"",[1]
29,3498,[18540],[],24,1,"","","","","",1,100,5,"",[]
30,3499,[18541],[],25,1,"","","","","",1,100,1,"",[1]
31,3500,[18542],[],26,1,"","","","","",1,100,1,"",[]
32,3501,[18543],[],27,1,"","","","","",1,100,2,"",[]
33,3502,[18544],[],28,1,"","","","","",1,100,1,"",[]
34,3503,[18545],[],136,1,"","","","","",1,100,1,"",[]
35,3504,[18546],[7006],2,1,"","","","","",1,100,1,"",[1]
36,3505,[18547],[7006],2,1,"","","","","",1,100,1,"",[1]
37,3506,[18548],[7006],2,1,"","","","","",1,100,1,"",[1]
38,3507,[18549],"[7006,7145]",2,1,"","","","","",1,100,1,"",[1]
39,3508,[18550],[],29,1,"","","","","",1,100,1,"",[]
40,3509,[18551],[],30,1,"","","","","",1,100,5,"",[]
41,3512,[18552],[],31,1,"","","","","",1,100,3,"",[]
42,3511,[18553],[],32,1,"","","","","",1,100,1,"",[]
43,3510,[18554],[],33,1,"","","","","",1,100,1,"",[1]
44,3513,[18555],[7006],3,1,"","","","","",1,100,1,"",[1]
45,3514,[18556],[7006],3,1,"","","","","",1,100,1,"",[1]
46,3515,[18557],[7006],3,1,"","","","","",1,100,1,"",[1]
47,3516,[18558],"[7006,7146]",3,1,"","","","","",1,100,1,"",[1]
48,3517,[18559],[],3,1,"","","","","",1,100,1,"",[]
49,3518,[18560],[],101,1,"","","","","",1,100,3,"",[]
50,3519,[18561],[],102,1,"","","","","",1,100,2,"",[]
51,3520,[18562],[7006],0,1,"","","","","",1,100,1,"",[1]
52,3521,[18563],[7006],0,1,"","","","","",1,100,1,"",[1]
53,3522,[18564],[7006],0,1,"","","","","",1,100,1,"",[1]
54,3523,[18565],"[7006,7147]",0,1,"","","","","",1,100,1,"",[1]
55,3524,[18566],[7006],0,1,"","","","","",1,100,1,"",[1]
56,3525,[18567],[7006],0,1,"","","","","",1,100,1,"",[1]
57,3526,[18568],[7006],0,1,"","","","","",1,100,1,"",[1]
58,3527,[18569],[7006],0,1,"","","","","",1,100,1,"",[1]
59,3528,[18570],[],126,1,"","","","","",1,100,1,"",[]
60,3530,[18571],[],123,1,"","","","","",1,100,1,"",[]
61,3529,[18572],[],124,1,"","","","","",1,100,2,"",[]
62,3531,[18573],[],125,1,"","","","","",1,100,1,"",[1]
63,3532,[18574],[7006],4,1,1,"","","","",1,100,1,"",[1]
64,3533,[18575],[7006],4,1,1,"","","","",1,100,1,"",[1]
65,3534,[18576],[7006],4,1,1,"","","","",1,100,1,"",[1]
66,3535,[18577],"[7006,7148]",4,1,1,"","","","",1,100,1,"",[1]
67,3536,[18578],[7006],5,1,"",1,"","","",1,100,1,"",[1]
68,3537,[18579],[7006],5,1,"",1,"","","",1,100,1,"",[1]
69,3538,[18580],[7006],5,1,"",1,"","","",1,100,1,"",[1]
70,3539,[18581],"[7006,7149]",5,1,"",1,"","","",1,100,1,"",[1]
71,3540,[18582],[],20,1,1,"","","","",1,100,1,"",[]
72,3541,[18583],[],21,1,"",1,"","","",1,100,1,"",[]
73,3543,"[18584,18585,18586,18587]",[],22,1,"","","","",1,1,100,1,"",[]
74,3542,[18588],[],23,1,"","","","","",1,100,1,"",[]
75,3544,[18589],[7006],0,1,"","","","","",1,100,1,"",[1]
76,3545,[18590],[7006],0,1,"","","","","",1,100,1,"",[1]
77,3546,[18591],[7006],0,1,"","","","","",1,100,1,"",[1]
78,3547,[18592],"[7006,7150]",0,1,"","","","","",1,100,1,"",[1]
79,3548,[18593],[],122,1,"","","","","",1,100,1,"",[]
80,3549,[18594],[],120,1,"","","","","",1,100,1,"",[1]
81,3550,[18595],[],121,1,"","","","","",1,100,1,"",[]
82,3551,[18596],[7006],6,1,"","","","","",1,100,1,"",[1]
83,3552,[18597],[7006],6,1,"","","","","",1,100,1,"",[1]
84,3553,[18598],[7006],6,1,"","","","","",1,100,1,"",[1]
85,3554,[18599],"[7006,7151]",6,1,"","","","","",1,100,1,"",[1]
86,3555,[18600],[],70,1,"","","","","",1,100,5,"",[]
87,3557,[18601],[],71,1,"","","","","",1,100,1,"",[]
88,3556,[18602],[],72,1,"","","","","",1,100,5,"",[]
89,3558,[18603],[7006],7,1,"","","","","",1,100,1,"",[1]
90,3559,[18604],[7006],7,1,"","","","","",1,100,1,"",[1]
91,3560,[18605],[7006],7,1,"","","","","",1,100,1,"",[1]
92,3561,[18606],"[7006,7152]",7,1,"","","","","",1,100,1,"",[1]
93,3562,[18607],[],73,1,"","","","","",1,100,2,"",[]
94,3563,[18608],[],74,1,"","","","","",1,100,1,"",[]
95,3564,[18609],[],75,1,"","","","","",1,100,1,"",[1]
96,3565,[18610],[],127,1,"","","","","",1,100,4,"",[]
97,3566,[18611],[7006],8,1,"","","","","",1,100,1,"",[1]
98,3567,[18612],[7006],8,1,"","","","","",1,100,1,"",[1]
99,3568,[18613],[7006],8,1,"","","","","",1,100,1,"",[1]
100,3569,[18614],"[7006,7153]",8,1,"","","","","",1,100,1,"",[1]
101,3570,[18615],[],37,1,"","","","","",1,100,3,"",[]
102,3571,[18616],[],38,1,"","","","","",1,100,1,"",[]
103,3572,[18617],[],39,1,"","","","","",1,100,1,"",[]
104,3573,[18618],[],40,1,"","","","","",1,100,1,"",[]
105,3574,[18619],[],41,1,"","","","","",1,100,1,"",[]
106,3575,[18620],[7006],9,1,"","","","","",1,100,1,"",[1]
107,3576,[18621],[7006],9,1,"","","","","",1,100,1,"",[1]
108,3577,[18622],[7006],9,1,"","","","","",1,100,1,"",[1]
109,3578,[18623],"[7006,7154]",9,1,"","","","","",1,100,1,"",[1]
110,3579,[18624],[],66,1,"","","","","",1,100,4,"",[]
111,3580,[18625],[],67,1,"","","","","",1,100,1,"",[]
112,3582,[18626],[],68,1,"","","","","",1,100,1,"",[]
113,3581,[18627],[],69,1,"","","","","",1,100,1,"",[]
114,3583,[18628],[7006],10,1,"","","","","",1,100,1,"",[1]
115,3584,[18629],[7006],10,1,"","","","","",1,100,1,"",[1]
116,3585,[18630],[7006],10,1,"","","","","",1,100,1,"",[1]
117,3586,[18631],"[7006,7155]",10,1,"","","","","",1,100,1,"",[1]
118,3587,[18632],[],10,1,"","","","","",1,100,1,"",[]
119,3588,[18633],[],103,1,"","","","","",1,100,2,"",[]
120,3589,[18634],[],104,1,"","","","","",1,100,1,"",[]
121,3591,[18635],[],105,1,"","","","","",1,100,1,"",[]
122,3590,[18636],[],106,1,"","","","","",1,100,1,"",[1]
123,3592,[18637],[7006],11,1,"","","","","",1,100,1,"",[1]
124,3593,[18638],[7006],11,1,"","","","","",1,100,1,"",[1]
125,3594,[18639],[7006],11,1,"","","","","",1,100,1,"",[1]
126,3595,[18640],"[7006,7156]",11,1,"","","","","",1,100,1,"",[1]
127,3596,[18641],[],96,1,"","","","","",1,100,5,"",[]
128,3597,[18642],[],97,1,"","","","","",1,100,1,"",[]
129,3598,[18643],[],98,1,"","","","","",1,100,1,"",[]
130,3599,[18644],[],99,1,"","","","","",1,100,1,"",[1]
131,3600,[18645],[],100,1,"","","","","",1,100,1,"",[]
132,3601,[18663],[7006],12,1,"","","","","",1,100,1,"",[1]
133,3602,[18664],[7006],12,1,"","","","","",1,100,1,"",[1]
134,3603,[18665],[7006],12,1,"","","","","",1,100,1,"",[1]
135,3604,[18666],"[7006,7157]",12,1,"","","","","",1,100,1,"",[1]
136,3605,[18650],[],13,1,"","","","","",1,100,1,"",[1]
137,3606,[18651],[],13,1,"","","","","",1,100,1,"",[1]
138,3607,[18652],[],13,1,"","","","","",1,100,1,"",[1]
139,3608,[18653],[],13,1,"","","","","",1,100,1,"",[1]
140,3609,[18654],[],14,1,"","","","","",1,100,1,"",[1]
141,3610,[18655],[],14,1,"","","","","",1,100,1,"",[1]
142,3611,[18656],[],14,1,"","","","","",1,100,1,"",[1]
143,3612,[18657],[],14,1,"","","","","",1,100,1,"",[1]
144,3613,[18658],[],14,1,"","","","","",1,100,2,"",[]
145,3614,[18659],[],93,1,"","","","","",1,100,2,"",[]
146,3615,[18660],[],94,1,"","","","","",1,100,1,"",[]
147,3616,[18661],[],95,1,"","","","","",1,100,1,"",[1]
148,3617,[18662],[],138,1,"","","","","",1,100,1,"",[]
149,3618,[18667],[],34,1,"","","","","",1,100,5,"",[]
150,3619,[18668],[],35,1,"","","","","",1,100,2,"",[]
151,3620,[18669],[],36,1,"","","","","",1,100,1,"",[]
152,3621,[18670],[],42,1,"","","","","",1,100,5,"",[]
153,3622,[18671],[],43,1,"","","","","",1,100,1,"",[]
154,3624,[18672],[],44,1,"","","","","",1,100,1,"",[]
155,3623,[18673],[],45,1,"","","","","",1,100,1,"",[]
156,3625,[18674],[],137,1,"","","","","",1,100,1,"",[]
157,3627,[18675],[],46,1,"","","","","",1,100,1,"",[]
158,3628,[18676],[],47,1,"","","","","",1,100,2,"",[]
159,3626,[18677],[],48,1,"","","","","",1,100,4,"",[]
160,3629,[18678],[],49,1,"","","","","",1,100,1,"",[]
161,3630,[18680],[],50,1,"","","","","",1,100,2,"",[]
162,3631,[18681],[],51,1,"","","","","",1,100,1,"",[]
163,3632,[18682],[],52,1,"","","","","",1,100,2,"",[]
164,3633,[18683],[],53,1,"","","","","",1,100,1,"",[]
165,3635,[18684],[],54,1,"","","","","",1,100,1,"",[]
166,3634,[18685],[],55,1,"","","","","",1,100,1,"",[]
167,3636,[18686],[],60,1,"","","","","",1,100,1,"",[]
168,3637,[18687],[],57,1,"","","","","",1,100,3,"",[]
169,3639,[18688],[],58,1,"","","","","",1,100,1,"",[]
170,3638,[18689],[],59,1,"","","","","",1,100,2,"",[]
171,3640,[18690],[],65,1,"","","","","",1,100,1,"",[]
172,3641,[18691],[],62,1,"","","","","",1,100,1,"",[]
173,3643,[18692],[],63,1,"","","","","",1,100,2,"",[1]
174,3642,[18693],[],64,1,"","","","","",1,100,1,"",[]
175,3644,[18694],[],76,1,"","","","","",1,100,1,"",[]
