"rownum","Id","i32_8","f32_12","rid_16","rid_32","rid_48"
0,"Fire",4,24,3593,163,""
1,"Ice",4,0,6194,165,""
2,"CausticCloud",8,5,4586,469,""
3,"Tar",4,0,4935,166,""
4,"Smoke",8,0,12323,1482,""
5,"Desecration",4,24,2183,204,""
6,"Consecration",10,0,8662,205,1236
7,"Lightning",6,0,10229,229,""
8,"Maelstorm",4,4,4828,697,""
9,"Haste",4,0,"",783,""
10,"Sandstorm",0,24,"",872,""
11,"Blizzard",4,0,"",802,""
12,"Spores",4,24,7285,451,""
13,"DevouringDarkness",4,24,"",841,""
14,"Quicksand",0,24,7923,920,""
15,"Blood",0,24,14610,1117,""
16,"TemporalAnomaly",10,0,10031,1005,1393
17,"OrionMeteor",0,0,"",1419,229
18,"CrownOfThorns",4,24,"",1558,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1530,""
21,"ChaosOfferingOfJudgement",6,24,"",495,518
22,"FireOfferingOfJudgement",6,24,"",494,518
23,"DespairBearGeyser",0,24,"",865,""
24,"Fungal",0,0,"",1383,1385
25,"BestiarySpiderWeb",0,24,"",1035,""
26,"VaalColdSnap",4,24,7866,1111,""
27,"Oil",4,24,15846,1612,163
28,"Scorch",4,0,"",1702,""
29,"GravityWell",0,24,4828,1741,""
30,"LightningVortex",4,4,13882,1767,229
31,"Brittle",4,0,"",1998,""
32,"Sapping",4,0,"",1999,""
33,"Sludge",4,0,"",2007,""
34,"Sanctum",4,0,17457,2090,""
35,"SanctumFire",4,0,3593,164,""
36,"SanctumChaos",8,5,4586,470,""
37,"PhysFireLifeRecover",4,24,19586,167,""
