"rownum","Id","rid_4","rid_20","bool_36","bool_37","bool_38","bool_39","i32_40","bool_44"
0,0,"",272,1,1,"",1,0,1
1,1,74,"","",1,"",1,0,1
2,2,158,159,"",1,"",1,0,1
3,3,273,274,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,273,"","",1,"",1,0,1
6,6,273,"",1,1,"",1,0,1
7,7,1415,"","","","",1,0,1
8,8,2073,"","","",1,1,0,1
9,9,2373,"","","",1,1,0,1
10,10,2533,"","","",1,1,0,1
11,11,2510,"","","","",1,0,1
12,12,2882,"","","","",1,0,1
13,13,273,"","",1,"",1,0,1
14,14,3218,"","",1,"",1,0,1
15,15,3219,"","",1,"",1,0,1
16,16,3220,"","",1,"",1,0,1
17,17,3271,"","","","",1,0,1
18,18,3412,"","","","",1,-100,1
19,19,498,272,1,"","",1,0,1
20,20,1811,"","","","",1,0,1
21,21,3618,"","","","",1,0,1
22,22,3704,"","","","",1,0,1
23,23,3705,"","","","",1,0,1
24,24,3706,"","","","",1,0,1
25,25,3863,"","","",1,1,0,1
26,26,4211,"","","","",1,0,1
27,27,4328,"","","","",1,0,1
28,28,4749,"","","","",1,0,1
29,29,4904,"",1,"",1,1,0,1
30,30,4927,"","",1,"",1,0,1
31,31,5187,"","","",1,1,0,1
32,32,5186,"","","","",1,0,1
33,33,5190,"","","",1,1,0,1
34,34,5191,"","","",1,1,0,1
35,35,5189,"","","",1,1,0,1
36,36,5236,"",1,1,1,1,0,1
37,37,5237,"",1,1,1,1,0,1
38,38,5638,"","",1,1,1,0,1
39,39,5735,"","","","",1,0,1
40,40,6218,"","","",1,1,0,1
41,41,6258,"","","",1,1,0,1
42,42,6314,"","","",1,1,0,1
43,43,6177,"","","","",1,0,1
44,44,6825,"","","","",1,0,1
45,45,6829,"","","","",1,0,1
46,46,6935,"","","",1,1,0,1
47,47,"","","","",1,1,0,""
48,48,7363,"","","",1,1,0,1
49,49,3272,"","","","",1,0,1
50,50,7406,"","","",1,1,0,1
