"rownum","MonsterVarietiesKey","bool_16","rid_17"
0,2661,1,""
1,2666,1,15
2,2667,"",15
3,2669,1,38
4,2670,"",38
5,2689,1,""
6,2691,1,27
7,2693,"",27
8,2696,1,15
9,2697,"",15
10,2699,1,55
11,2700,"",55
12,2645,1,5
13,2646,"",5
14,2650,1,19
15,2651,"",19
16,2655,1,26
17,2656,"",26
18,2740,1,40
19,2741,"",40
20,2744,1,48
21,2745,"",48
22,2746,1,71
23,2747,"",71
24,2723,1,25
25,2724,"",25
26,2728,1,7
27,2729,"",7
28,2731,1,54
29,2732,"",54
30,2710,1,28
31,2711,"",28
32,2714,1,9
33,2715,"",9
34,2717,1,35
35,2718,"",35
36,2676,1,8
37,2677,"",8
38,2678,1,6
39,2679,"",6
40,2683,1,70
41,2684,"",70
42,2658,1,88
43,2659,"",88
44,2671,1,15
45,2672,"",15
46,2701,1,27
47,2702,"",27
48,2735,1,8
49,2736,"",8
50,2719,1,78
51,2720,"",78
52,2668,"",23
53,2698,"",36
54,2657,"",18
55,2739,"",32
56,2730,"",34
57,2716,"",13
58,2682,"",35
59,4617,"",""
60,4619,"",""
61,4618,"",""
62,2756,"",""
63,2757,"",""
64,2760,"",""
65,2754,"",""
66,2758,"",""
67,2755,"",""
68,2759,"",""
69,2647,"",5
70,2663,"",""
71,2692,"",27
72,2712,"",28
73,2733,"",54
74,2742,"",40
75,2680,"",6
76,2685,1,78
77,2686,"",78
78,2706,1,""
79,2687,1,""
80,2721,1,""
81,2737,1,""
82,2674,1,""
83,2708,1,81
84,2709,"",81
