"rownum","ModsKey","i32_16","i32_20","i32_24","i32_28","i32_32","bool_36","bool_37"
0,20537,0,11,100,1,6,1,1
1,20538,0,50,100,3,6,1,1
2,20589,0,11,100,1,6,1,1
3,20593,0,11,100,1,6,1,1
4,20594,0,11,100,1,6,1,1
5,20595,0,11,100,1,6,1,1
6,20596,0,11,100,1,6,1,1
7,20601,0,11,100,1,6,1,1
8,20604,150,11,100,1,3,1,1
9,20605,150,25,100,4,5,1,1
10,20606,75,68,100,6,7,1,1
11,20607,150,11,100,1,3,1,1
12,20608,150,25,100,4,5,1,1
13,20609,75,68,100,6,7,1,1
14,20610,150,11,100,1,3,1,1
15,20611,150,25,100,4,5,1,1
16,20612,75,68,100,6,7,1,1
17,20603,75,68,100,3,6,1,1
18,20613,150,40,100,1,3,1,1
19,20614,75,68,100,4,5,1,1
20,20602,37,68,100,6,7,1,1
21,20591,0,11,100,1,3,1,1
22,20615,0,25,100,4,5,1,1
23,20616,0,68,100,6,7,1,1
24,20617,0,68,100,6,7,1,1
25,20597,0,11,100,1,3,1,1
26,20618,0,25,100,4,5,1,1
27,20619,0,68,100,6,7,1,1
28,20592,150,11,100,1,3,1,1
29,20620,75,40,100,4,5,1,1
30,20621,37,68,100,6,7,1,1
31,20598,150,11,100,1,6,1,1
32,20599,75,68,100,4,7,1,1
33,20622,150,68,100,3,7,1,1
