"rownum","rid_0","[rid]_16","bool_32","i32_33","i32_37"
0,19084,"[3551,5199,5363,6280,7496]","",0,0
1,19085,"[5360,5357,5351,5354]","",0,0
2,19087,"[6271,6273,6275,6278]","",0,0
3,19088,"[5107,5102,5111,5096]","",0,0
4,19089,"[7481,7484,7487,7490]","",0,0
5,19090,"[8123,8148,8173,8202]","",0,0
6,19119,[8563],1,0,0
7,19120,[8567],1,0,0
8,19121,[8571],1,0,0
9,19123,[6920],"",0,0
10,19144,"[2646,2651,2656,2659,2662,2667,2670,2672,2675,2677,2679,2684,2686,2688,2690,2693,2697,2700,2702,2707,2709,2711,2715,2718,2720,2722,2724,2729,2732,2736,2738,2741,2745,2747]",1,16777216,0
11,19234,[3237],1,0,0
12,19314,[5782],1,0,0
