"rownum","BaseItem","Code","Order1","Show","Order2"
0,10,"alch",0,1,0
1,13,"alt",0,1,0
2,216,"annul",0,1,0
3,12,"aug",0,"",0
4,18,"bauble",0,"",0
5,30,"blessed",0,1,0
6,8,"chance",0,1,0
7,5,"chaos",20,1,40
8,20,"chisel",0,1,0
9,26,"chrome",0,1,0
10,29,"divine",0,1,20
11,220,"engineers",0,"",0
12,15,"exalted",0,1,0
13,424,"facetors",0,"",0
14,27,"fusing",0,1,0
15,19,"gcp",0,1,0
16,221,"infused-engineers-orb",0,"",0
17,28,"jewellers",0,1,0
18,1,"mirror",0,1,10
19,299,"offer",0,"",0
20,302,"offer-dedication",0,"",0
21,301,"offer-gift",0,"",0
22,300,"offer-tribute",0,"",0
23,17,"portal",0,"",0
24,16,"regal",0,1,0
25,3,"regret",0,1,0
26,14,"scour",0,1,0
27,0,"scrap",0,"",0
28,9,"transmute",0,"",0
29,39,"vaal",0,1,0
30,11,"whetstone",0,"",0
31,2,"wisdom",0,"",0
32,1165,"lesser-ember",0,1,0
33,1166,"greater-ember",0,1,0
34,1167,"grand-ember",0,1,0
35,1168,"excep-ember",0,1,0
36,1169,"lesser-echor",0,1,0
37,1170,"greater-echor",0,1,0
38,1171,"grand-echor",0,1,0
39,1172,"excep-echor",0,1,0
