"rownum","rid_0","Monster","rid_32","i32_48","Achievement","bool_68","bool_69","bool_70","bool_71"
0,0,9742,7169,2,[9790],1,"","",""
1,1,9745,7175,0,[9791],"","","",""
2,2,9747,7181,0,[9792],"","","",""
3,3,9749,7171,0,[],"","","",""
4,4,9750,7180,2,[9793],"","","",""
5,5,9753,7182,1,[9794],"","","",""
6,6,9755,7173,1,[9795],"","","",""
7,7,9757,7172,0,[],"","","",""
8,8,9759,7172,0,[9796],"","","",""
9,9,9739,7182,1,[9797],"","","",""
10,10,9761,7180,2,[9798],"","","",""
11,11,9763,7170,1,[9799],"","","",""
12,12,9765,7171,1,[9800],"","","",""
13,13,9768,7173,1,[9801],"","","",""
14,14,9770,7172,0,[9802],"","","",""
15,15,9772,7180,1,[9803],"","","",""
16,16,9774,7173,2,[9804],"","","",""
17,17,9777,7180,2,[9805],"","","",""
18,18,9780,7175,0,[9806],"","","",""
19,19,9782,7173,0,[9807],"","","",""
20,20,9738,7128,3,[],"","","",""
21,21,9784,7172,0,[9808],"","","",""
22,22,9786,7173,1,[9809],"","","",""
23,23,9788,7180,2,[9810],"","","",""
24,24,9790,7180,2,[9811],"","","",""
25,25,9794,7180,2,[9812],"","","",""
26,26,9796,7172,0,[9813],"","","",""
27,27,9800,7180,2,[9814],"","","",""
28,28,9803,7172,0,[9815],"","","",""
29,29,9805,7173,1,[9816],"","","",""
30,30,9807,7180,2,[9817],"","","",""
31,31,9809,7173,1,[9818],"","","",""
32,32,9811,7173,1,[9819],"","","",""
33,33,9815,7172,0,[9820],"","","",""
34,47,9825,7128,3,[],"","","",""
35,48,9828,7128,3,[],"","","",""
36,49,9831,7171,0,[],"","","",""
37,50,9832,7128,3,[],"","","",""
38,51,9835,7128,3,[9821],"","","",""
39,52,9838,7171,0,[],"","","",""
40,53,9840,7172,0,[],"","","",""
41,54,9847,7128,3,[],"","","",""
42,55,9850,7128,3,[],"","","",""
43,56,9853,7128,3,[],"","","",""
44,57,9856,7128,3,[],"","","",""
45,58,9859,7128,3,[],"","","",""
46,59,9862,7128,3,[9822],"","","",""
