"rownum","Mod","Type","bool_32"
0,31425,2,""
1,31426,2,""
2,31427,2,""
3,31428,2,""
4,31429,2,""
5,31430,2,""
6,31431,2,""
7,31432,2,""
8,31433,2,""
9,31434,2,""
10,31435,2,""
11,31436,2,""
12,31437,1,""
13,31438,1,""
14,31439,1,""
15,31440,1,""
16,31441,1,""
17,31442,1,""
18,31443,1,""
19,31444,1,""
20,31445,1,""
21,31446,1,""
22,31447,1,""
23,31448,1,""
24,31449,1,""
25,31450,0,""
26,31451,0,""
27,31452,0,""
28,31453,0,""
29,31454,0,""
30,31455,0,""
31,31456,0,""
32,31457,0,""
33,31458,0,""
34,31459,0,""
35,31460,0,""
36,31461,0,""
37,31462,0,""
38,31463,0,""
39,31464,2,""
40,31465,2,""
41,31466,2,""
42,31467,2,""
43,31468,2,""
44,31469,2,""
45,31470,2,""
46,31471,2,""
47,31472,2,""
48,31473,2,""
49,31474,2,""
50,31475,2,""
51,31477,2,""
52,31479,1,""
53,31480,1,""
54,31481,1,""
55,31482,1,""
56,31483,1,""
57,31484,1,""
58,31485,1,""
59,31486,1,""
60,31487,1,""
61,31488,1,""
62,31489,1,""
63,31490,1,""
64,31491,1,""
65,31493,0,""
66,31494,0,""
67,31495,0,""
68,31496,0,""
69,31497,0,""
70,31498,0,""
71,31499,0,""
72,31500,0,""
73,31501,0,""
74,31502,0,""
75,31503,0,""
76,31504,2,1
77,31505,2,1
78,31506,2,1
79,31507,2,1
80,31508,2,1
81,31509,2,1
82,31510,2,1
83,31511,2,1
84,31512,2,1
85,31513,2,1
86,31514,2,1
87,31515,2,1
88,31516,2,1
89,31517,2,1
90,31518,2,1
91,31519,2,1
92,31520,1,""
93,31521,1,""
94,31522,1,""
95,31523,1,""
96,31524,1,""
97,31525,1,""
98,31526,1,""
99,31527,1,""
100,31528,1,""
101,31529,1,""
102,31530,1,""
103,31531,1,""
104,31532,1,""
105,31533,1,""
106,31534,1,""
107,31535,1,""
108,31537,1,""
109,31538,1,""
110,31540,1,""
111,31541,1,""
112,31542,1,""
113,31543,1,""
114,31544,1,""
115,31546,2,1
116,31547,2,1
117,31549,2,1
118,31550,2,1
119,31551,2,1
120,31552,2,1
121,31553,2,1
122,31554,0,""
123,31555,0,""
124,31556,0,""
125,31557,0,""
126,31558,0,""
127,31559,0,""
128,31560,0,1
129,31561,0,1
130,31590,2,1
131,31591,2,1
132,31592,2,1
133,31593,2,1
134,31594,2,1
135,31595,2,1
136,31596,2,1
137,31597,2,1
138,31598,2,1
139,31599,2,1
140,31600,2,1
141,31601,2,1
142,31602,2,1
143,31603,2,1
144,31604,2,1
145,31605,2,1
146,31606,2,1
147,31607,2,1
148,31608,2,1
149,31609,1,""
150,31610,1,""
151,31611,1,""
152,31612,1,""
153,31613,1,""
154,31614,1,""
155,31615,1,""
156,31616,1,""
157,31617,1,""
158,31618,1,""
159,31619,1,""
160,31620,1,""
161,31621,1,""
162,31622,1,""
163,31623,1,""
164,31624,1,""
165,31625,1,""
166,31626,1,""
167,31627,1,""
168,31629,1,""
169,31630,1,""
170,31631,1,""
171,31632,1,""
172,31633,1,""
173,31634,1,""
174,31635,1,""
175,31636,1,""
176,31637,2,1
177,31638,2,1
178,31639,2,1
179,31640,2,1
180,31641,2,1
181,31642,2,1
182,31643,2,1
183,31644,2,1
184,31645,0,""
185,31647,0,""
186,31648,0,""
187,31649,0,""
188,31650,0,""
189,31651,0,1
190,31652,0,1
191,31677,1,""
192,31678,1,""
193,31679,1,""
194,31680,2,1
195,31681,2,1
196,31682,2,1
197,31683,0,""
198,31684,0,""
199,31685,0,""
200,31686,0,1
201,31687,0,1
202,31688,0,1
203,31689,1,""
204,31690,1,""
205,31691,1,""
206,31692,2,1
207,31693,2,1
208,31694,2,1
209,31695,0,""
210,31696,0,""
211,31697,0,""
212,31698,0,1
213,31699,0,1
214,31700,0,1
215,31562,1,""
216,31563,2,""
217,31564,1,""
218,31565,2,""
219,31566,1,""
220,31567,2,""
221,31568,1,""
222,31569,2,""
223,31570,1,""
224,31571,2,""
225,31572,1,""
226,31573,2,""
227,31574,1,""
228,31575,2,""
229,31576,1,""
230,31577,2,""
231,31578,1,""
232,31579,2,""
233,31580,1,""
234,31581,2,""
235,31582,1,""
236,31583,2,""
237,31584,1,""
238,31585,2,""
239,31586,1,""
240,31587,2,""
241,31588,1,""
242,31589,2,""
243,31653,1,""
244,31654,2,""
245,31655,1,""
246,31656,2,""
247,31657,1,""
248,31658,2,""
249,31659,1,""
250,31660,2,""
251,31661,1,""
252,31662,2,""
253,31663,1,""
254,31664,2,""
255,31665,1,""
256,31666,2,""
257,31667,1,""
258,31668,2,""
259,31669,1,""
260,31670,2,""
261,31671,1,""
262,31672,2,""
263,31673,1,""
264,31674,2,""
265,31675,1,""
266,31676,2,""
