"rownum","Id","CounterStat","bool_24","bool_25"
0,"Unknown","","",""
1,"UnknownTattoo","",1,""
2,"NgamahuTattoo",18731,1,""
3,"KitavaTattoo",18732,1,""
4,"TukohamaTattoo",18733,1,""
5,"RongokuraiTattoo",18734,1,""
6,"TasalioTattoo",18735,1,""
7,"ArohonguiTattoo",18736,1,""
8,"RamakoTattoo",18737,1,""
9,"HinekoraTattoo",18738,1,""
10,"TawhoaTattoo",18739,1,""
11,"ValakoTattoo",18740,1,""
12,"HonouredHeartTattoo",18950,1,""
13,"HonouredMindTattoo",18951,1,""
14,"HonouredSoulTattoo",18952,1,""
15,"KeystoneTattoo","",1,""
16,"AlternateMastery","","",1
