"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15102,25227,1
1,15103,25228,1
2,15104,15105,""
3,15105,25229,1
4,15106,15107,""
5,15107,25230,1
6,15108,15109,""
7,15109,25231,1
8,15110,25232,1
9,15112,25233,1
10,15114,15115,""
11,15115,25234,1
12,15116,15117,""
13,15117,25235,1
14,15118,25236,1
15,15119,15120,""
16,15120,25237,1
17,15121,15122,""
18,15122,25238,1
19,15123,15124,""
20,15124,25239,1
21,15125,15126,""
22,15126,25240,1
23,15127,15128,""
24,15128,25241,1
25,15129,15130,""
26,15130,25242,1
27,15131,15132,""
28,15132,25243,1
29,15133,15134,""
30,15134,25244,1
31,15135,15136,""
32,15136,25245,1
33,15137,15138,""
34,15138,25246,1
35,21318,21319,""
36,21319,25247,1
37,21394,21395,""
38,21395,25248,1
39,21396,25249,1
40,21400,21401,""
41,21401,25252,1
42,21402,25253,1
43,21403,21404,""
44,21404,25254,1
45,21405,21406,""
46,21406,25255,1
47,21407,21408,""
48,21408,25256,1
49,21409,25257,1
50,21410,25258,1
51,21411,21412,""
52,21412,21413,""
53,21413,25259,1
54,21414,21415,""
55,21415,25260,1
56,21416,25261,1
57,21417,21418,""
58,21418,25262,1
59,21419,21420,""
60,21420,25263,1
61,21421,25264,1
62,21422,21423,""
63,21423,25265,1
64,21424,25266,1
65,21425,25267,1
66,21426,25268,1
67,21427,21428,""
68,21428,25269,1
69,21429,25270,1
70,21430,21431,""
71,21431,25271,1
72,21432,21433,""
73,21433,25272,1
74,21434,21435,""
75,21435,25273,1
76,21436,21437,""
77,21437,25274,1
78,21438,21439,""
79,21439,25275,1
80,21440,25277,1
81,21441,25278,1
82,21442,21443,""
83,21443,25279,1
84,21444,21445,""
85,21445,25280,1
86,21446,21447,""
87,21447,25281,1
88,21448,21449,""
89,21449,25282,1
90,15035,15036,""
91,15036,15037,""
92,15037,25283,1
93,15038,15039,""
94,15039,15040,""
95,15040,25284,1
96,15041,15042,""
97,15042,25285,1
98,15043,15044,""
99,15044,15045,""
100,15045,25286,1
101,15046,15047,""
102,15047,15048,""
103,15048,25287,1
104,15052,15053,""
105,15053,15054,""
106,15054,25289,1
107,15055,15056,""
108,15056,15057,""
109,15057,25290,1
110,15058,15059,""
111,15059,15060,""
112,15060,25291,1
113,15061,15062,""
114,15062,15063,""
115,15063,25292,1
116,15064,15065,""
117,15065,15066,""
118,15066,25293,1
119,15067,15068,""
120,15068,15069,""
121,15069,25294,1
122,15070,15071,""
123,15071,25295,1
124,15072,25296,1
125,15073,15074,""
126,15074,15075,""
127,15075,25297,1
128,15076,15077,""
129,15077,15078,""
130,15078,25298,1
131,15079,15080,""
132,15080,15081,""
133,15081,25299,1
134,15082,15083,""
135,15083,15084,""
136,15084,25300,1
137,15085,15086,""
138,15086,15087,""
139,15087,25301,1
140,15088,15089,""
141,15089,25302,1
142,15090,15091,""
143,15091,25303,1
144,15092,15093,""
145,15093,25304,1
146,15094,15095,""
147,15095,15096,""
148,15096,25305,1
149,15097,15098,""
150,15098,15099,""
151,15099,25306,1
152,15100,25307,1
153,15101,25308,1
154,21206,21207,""
155,21207,25309,1
156,21314,21315,""
157,21315,25310,1
158,21320,21321,""
159,21321,25312,1
160,21322,25313,1
161,21323,21324,""
162,21324,25314,1
163,21325,21326,""
164,21326,25315,1
165,21327,25316,1
166,21328,21329,""
167,21329,21330,""
168,21330,25317,1
169,21331,21332,""
170,21332,21333,""
171,21333,25318,1
172,21334,21335,""
173,21335,21336,""
174,21336,25319,1
175,21337,25320,1
176,21338,21339,""
177,21339,25321,1
178,21340,21341,""
179,21341,21342,""
180,21342,25322,1
181,21343,21344,""
182,21344,25323,1
183,21345,25324,1
184,21346,21347,""
185,21347,21348,""
186,21348,25325,1
187,21349,21350,""
188,21350,25326,1
189,21351,25327,1
190,21352,21353,""
191,21353,21354,""
192,21354,25328,1
193,21355,21356,""
194,21356,25329,1
195,21357,21358,""
196,21358,25330,1
197,21359,25331,1
198,21360,25332,1
199,21361,21363,""
200,21363,25333,1
201,21365,21366,""
202,21366,25335,1
203,21367,21368,""
204,21368,25336,1
205,21369,21370,""
206,21370,25337,1
207,21371,21372,""
208,21372,25338,1
209,21373,21374,""
210,21374,21375,""
211,21375,25339,1
212,21376,21377,""
213,21377,21378,""
214,21378,25340,1
215,21379,21380,""
216,21380,21381,""
217,21381,25341,1
218,21382,21383,""
219,21383,21384,""
220,21384,25342,1
221,21385,21386,""
222,21386,21387,""
223,21387,25343,1
224,21388,25344,1
225,21389,21390,""
226,21390,25345,1
227,21391,25346,1
228,21392,25347,1
229,21393,25348,1
230,14972,14973,""
231,14973,14974,""
232,14974,25349,1
233,14975,14976,""
234,14976,14977,""
235,14977,25350,1
236,14978,14979,""
237,14979,14980,""
238,14980,25351,1
239,14981,25352,1
240,14982,14983,""
241,14983,14984,""
242,14984,25353,1
243,14985,14986,""
244,14986,14987,""
245,14987,25354,1
246,14988,14989,""
247,14989,14990,""
248,14990,25355,1
249,14991,25356,1
250,14996,14997,""
251,14997,14998,""
252,14998,25359,1
253,14999,15000,""
254,15000,15001,""
255,15001,25360,1
256,15002,15003,""
257,15003,15004,""
258,15004,25361,1
259,15005,15006,""
260,15006,15007,""
261,15007,25362,1
262,15008,15009,""
263,15009,15010,""
264,15010,25363,1
265,15011,15012,""
266,15012,15013,""
267,15013,25364,1
268,15014,15015,""
269,15015,15016,""
270,15016,25365,1
271,15017,15018,""
272,15018,25366,1
273,15021,15022,""
274,15022,15023,""
275,15023,25367,1
276,15024,15025,""
277,15025,25368,1
278,15026,15027,""
279,15027,15028,""
280,15028,25369,1
281,15029,15030,""
282,15030,15031,""
283,15031,25370,1
284,15032,15033,""
285,15033,15034,""
286,15034,25371,1
287,18530,18531,""
288,18531,25372,1
289,18544,18545,""
290,18545,25373,1
291,18559,18560,""
292,18560,25374,1
293,18575,18576,""
294,18576,25375,1
295,21197,21198,""
296,21198,21199,""
297,21199,25376,1
298,21242,21243,""
299,21243,25377,1
300,21246,21247,""
301,21247,25379,1
302,21248,21249,""
303,21249,25380,1
304,21250,21251,""
305,21251,25381,1
306,21252,25382,1
307,21253,25383,1
308,21255,21256,""
309,21256,21257,""
310,21257,25384,1
311,21258,21259,""
312,21259,21260,""
313,21260,25385,1
314,21261,25386,1
315,21262,21263,""
316,21263,21264,""
317,21264,25387,1
318,21265,21266,""
319,21266,21267,""
320,21267,25388,1
321,21268,21269,""
322,21269,21270,""
323,21270,25389,1
324,21271,21272,""
325,21272,21273,""
326,21273,25390,1
327,21274,25391,1
328,21275,21276,""
329,21276,25392,1
330,21277,25393,1
331,21278,21279,""
332,21279,25394,1
333,21280,21281,""
334,21281,25395,1
335,21282,21283,""
336,21283,25396,1
337,21284,21285,""
338,21285,25397,1
339,21286,21287,""
340,21287,25398,1
341,21288,21289,""
342,21289,21290,""
343,21290,25399,1
344,21291,21292,""
345,21292,25400,1
346,21293,21294,""
347,21294,25401,1
348,21295,25402,1
349,21296,25403,1
350,21297,25404,1
351,21298,25405,1
352,21299,21300,""
353,21300,25406,1
354,21302,21303,""
355,21303,25407,1
356,21304,21305,""
357,21305,25408,1
358,21306,21307,""
359,21307,25409,1
360,21308,21309,""
361,21309,25410,1
362,21310,21311,""
363,21311,25411,1
364,21312,21313,""
365,21313,25412,1
366,21530,25413,1
367,14934,25414,1
368,14935,25415,1
369,14936,25416,1
370,14937,25417,1
371,14938,25418,1
372,14939,25419,1
373,14940,25420,1
374,14941,14942,""
375,14942,14943,""
376,14943,25421,1
377,14944,14945,""
378,14945,14946,""
379,14946,25422,1
380,14947,14948,""
381,14948,14949,""
382,14949,25423,1
383,14950,14951,""
384,14951,14952,""
385,14952,25424,1
386,14953,14954,""
387,14954,25425,1
388,14955,14956,""
389,14956,25426,1
390,14957,14958,""
391,14958,14959,""
392,14959,25427,1
393,14960,14961,""
394,14961,14962,""
395,14962,25428,1
396,14963,14964,""
397,14964,14965,""
398,14965,25429,1
399,14966,14967,""
400,14967,14968,""
401,14968,25430,1
402,14969,25431,1
403,14970,25432,1
404,14971,25433,1
405,21171,25434,1
406,21172,25435,1
407,21173,21174,""
