"rownum","Id","HASH16","RewardText","RewardText (French)","RewardText (German)","RewardText (Japanese)","RewardText (Korean)","RewardText (Portuguese)","RewardText (Russian)","RewardText (Spanish)","RewardText (Thai)","RewardText (Traditional Chinese)","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText","SacrificeText (French)","SacrificeText (German)","SacrificeText (Japanese)","SacrificeText (Korean)","SacrificeText (Portuguese)","SacrificeText (Russian)","SacrificeText (Spanish)","SacrificeText (Thai)","SacrificeText (Traditional Chinese)","bool_68","TrialMods"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[25577,25582]"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[25578,25583]"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[25579,25584]"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[25580,25585]"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","Double les Cartes divinatoires sacrifiées","Verdoppelt geopferte Weissagungskarten","捧げた占いカードを倍加","소모되는 점술 카드 2배","Dobra Cartas de Adivinhação sacrificadas","Удваивает принесенные в жертву гадальные карты","Duplica las cartas de adivinación sacrificadas","เพิ่ม ไพ่พยากรณ์ ที่สังเวยเป็น สองเท่า","翻倍獻祭的命運卡","",2,"",0,"","","","","","","","","","",1,"[25581,25586]"
5,"MirrorRare1",49959,"Item and Mirrored Copy","Un Objet et sa Copie reflétée","Gegenstand und gespiegelte Kopie","アイテムおよびそのミラー化コピー","아이템과 복제본","Item e Cópia Espelhada","Предмет и его зеркальная копия","Objeto y copia reflejada","ไอเทม และ สำเนาไอเทมที่ถูกสะท้อน","物品和複製品","",3,"",0,"Mirrorable, Rare Item","Un Objet rare et reflétable","Spiegelbarer seltener Gegenstand","ミラー化可能レアアイテム","복제 가능, 희귀 아이템","Espelhável, Item Raro","Редкий предмет с возможностью сделать его копию","Reflejable, objeto raro","ไอเทมแรร์ ที่สามารถถูกสะท้อนได้","可鏡像、稀有物品","","[25581,25586]"
6,"Unique1",24507,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25578,25583]"
7,"Unique1_2",27055,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
8,"Unique2",31270,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
9,"Unique2_2",56553,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
10,"Unique2_3",26555,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25580,25585]"
11,"Unique3",62141,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25580,25585]"
12,"Unique3_2",15941,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
13,"Unique3_3",53117,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25581,25586]"
14,"Unique4",49320,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25578,25583]"
15,"Unique5",18654,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
16,"Unique6",7505,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25580,25585]"
17,"Unique7",6641,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25581,25586]"
18,"Unique8",5026,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25581,25586]"
19,"Unique9",17340,"","","","","","","","","","","",4,"",0,"","","","","","","","","","","","[25579,25584]"
