"rownum","i32_0","f32_4","f32_8","f32_12","f32_16","i32_20","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","f32_52","f32_56"
0,1,30,1,10,0.38,3,10,11,33,25,50,100,100,7,150
1,13,32,1,12,0.38,3,10,11,33,25,50,100,100,7,150
2,23,35,1,14,0.38,3,10,11,33,25,50,100,100,7,150
3,33,38,1,16,0.38,3,10,11,33,25,50,100,100,7,150
4,41,41,1,18,0.38,3,10,11,33,25,50,100,100,7,150
5,68,44,1,20,0.38,3,10,11,33,25,50,100,100,7,150
6,73,47,1,20,0.38,3,10,11,33,25,50,100,100,7,150
7,78,50,1,20,0.38,3,10,11,33,25,50,100,100,7,150
8,101,0,0,0,0,8,8,25,25,50,50,100,100,0,0
9,201,50,200,4,10,0,0,0,0,0,0,0,0,4,200
