"rownum","WorldAreasKey","InheritsFrom","RecipeId"
0,38,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",213
1,39,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",161
2,42,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",146
3,51,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",158
4,44,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",187
5,49,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",170
6,54,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",176
7,57,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",214
8,63,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",244
9,65,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",173
10,67,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",239
11,69,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",234
12,73,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",194
13,62,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",168
14,71,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBeast",133
15,81,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",147
16,82,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",159
17,83,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",183
18,95,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",141
19,100,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",149
20,93,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",162
21,90,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",188
