"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid_52","rid_68","i32_84","rid_88","i32_104","bool_108","rid_109"
0,172,[174],1361,1,"","",112,108,56,"",""
1,329,"[344,328]",1362,2,"","",606,110,56,"",""
2,342,"[27,229,341]",1358,3,"",242,1586,11,56,1,""
3,337,"[332,335]",1363,4,"","",68,111,56,"",76
4,340,[338],1364,5,"","",592,118,56,"",87
5,397,"[395,396]",1365,13,"","",372,122,56,"",""
6,412,[410],1367,15,"","",353,106,56,"",15
7,511,[511],1368,21,"","",1092,"",56,1,""
8,520,[512],1369,22,"","",1093,"",56,1,""
9,521,[513],1370,23,"","",1094,"",56,1,""
10,522,[514],1371,24,"","",1095,"",56,1,""
11,533,"[531,532]",1372,26,"","",1155,"",41,1,""
12,535,"[192,298,313,314]",1373,0,"","",1163,73,56,1,""
13,667,"[665,666]",1376,60,"","",608,"",56,"",""
14,677,[675],1377,61,"","",686,"",56,"",""
15,706,[705],1378,62,"","",1493,"",56,1,""
