"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool_56"
0,"Resist1",3181,3254,3341,1
1,"Resist2",3182,3255,3342,1
2,"Resist3",3183,3256,3343,1
3,"Resist4",3184,3257,3344,1
4,"Resist5",3185,3258,3345,1
5,"Resist6",3186,3259,3346,1
6,"Resist7",3187,3260,3347,1
7,"Resist8",3188,3261,3348,1
8,"Resist9",8805,8807,8809,""
9,"Resist10",8806,8808,8810,""
10,"Resist11",8843,8845,8847,""
11,"Resist12",8844,8846,8848,""
12,"Resist13",8954,8956,8958,""
13,"Resist14",8955,8957,8959,""
14,"Resist15",8990,8992,8994,""
15,"Resist16",8991,8993,8995,""
16,"Resist17",18091,18094,18097,""
17,"Resist18",18092,18095,18098,""
18,"Resist19",18093,18096,18099,""
19,"Resist20",3410,3411,3412,""
20,"Resist21",18942,18943,18944,""
21,"Resist22",9756,9757,9758,1
22,"Resist23",14376,14377,14378,1
23,"Resist24",3407,3408,3409,""
24,"Resist25",18939,18940,18941,""
25,"Resist26",15328,15331,15334,1
26,"Resist27",15329,15332,15335,1
27,"Resist28",15330,15333,15336,1
28,"Resist29",16458,16467,16476,""
29,"Resist30",21173,21242,21314,1
30,"Resist31",21174,21243,21315,1
31,"Resist32",21466,21478,21450,1
32,"Resist33",21467,21479,21451,1
33,"Resist34",21468,21480,21452,1
34,"Resist35",3404,3405,3406,""
35,"Resist36",18936,18937,18938,""
36,"Resist37",16526,16536,16546,1
37,"Resist38",22611,22614,22617,1
38,"Resist39",22612,22615,22618,1
39,"Resist40",22613,22616,22619,1
40,"Resist41",22684,22689,22694,1
41,"Resist42",22685,22690,22695,1
42,"Resist43",22686,22691,22696,1
43,"Resist44",22687,22692,22697,1
44,"Resist45",22688,22693,22698,1
45,"Resist46",25436,25377,25310,1
46,"Resist47",13968,13971,13974,1
47,"Resist48",13969,13972,13975,1
48,"Resist49",13970,13973,13976,1
49,"Resist50",9764,9765,9766,1
