"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","i32_36"
0,368,500,833,1,1,13,0
1,369,830,667,5,9,120,0
2,370,900,714,7,13,120,0
3,371,800,625,9,16,120,0
4,372,900,690,12,23,120,0
5,373,900,690,11,32,120,0
6,374,1000,714,18,34,120,0
7,375,850,690,20,37,120,0
8,376,850,714,21,38,120,0
9,377,800,625,19,36,120,0
10,378,900,690,24,45,120,0
11,379,900,690,18,55,120,0
12,380,1000,714,26,49,120,0
13,381,800,690,28,52,120,0
14,382,950,714,31,57,120,0
15,383,800,625,27,50,120,0
16,384,900,690,30,56,120,0
17,385,900,690,22,65,120,0
18,386,1000,714,28,52,120,0
19,387,850,690,30,56,120,0
20,388,900,667,15,28,120,0
21,389,900,667,23,43,120,0
22,390,900,667,27,50,120,0
23,391,830,667,13,23,120,0
24,392,830,667,25,47,120,0
25,393,830,667,28,52,120,0
26,394,950,690,4,8,120,0
27,395,750,667,6,10,10,0
28,396,750,690,4,17,10,0
29,397,800,690,3,26,10,0
30,398,780,667,7,27,10,0
31,399,800,690,8,34,10,0
32,400,850,769,10,41,10,0
33,401,800,690,11,43,10,0
34,402,850,833,15,59,10,0
35,403,800,741,14,54,10,0
36,404,750,714,11,45,10,0
37,405,800,714,7,62,10,0
38,406,780,667,13,52,10,0
39,407,800,714,15,59,10,0
40,408,850,833,19,75,10,0
41,409,800,690,16,64,10,0
42,410,850,833,22,87,10,0
43,411,850,741,19,74,10,0
44,412,850,714,19,76,10,0
45,413,800,714,10,86,10,0
46,414,780,667,19,74,10,0
47,415,800,714,20,79,10,0
48,416,850,833,24,95,10,0
49,417,800,667,18,73,10,0
50,418,850,833,24,97,10,0
51,419,800,741,22,88,10,0
52,420,830,714,12,46,10,0
53,421,830,714,18,71,10,0
54,422,830,714,20,79,10,0
55,423,800,690,12,47,10,0
56,424,800,690,18,73,10,0
57,425,800,690,21,85,10,0
58,426,730,625,4,11,11,0
59,427,800,667,6,17,11,0
60,428,750,645,7,23,11,0
61,429,700,625,12,22,11,0
62,430,750,645,12,31,11,0
63,431,800,769,16,43,11,0
64,432,700,625,14,38,11,0
65,433,750,667,12,46,11,0
66,434,750,667,15,44,11,0
67,435,800,769,20,53,11,0
68,436,750,667,15,51,11,0
69,437,700,625,23,43,11,0
70,438,750,667,20,53,11,0
71,439,800,769,26,68,11,0
72,440,700,625,21,56,11,0
73,441,750,667,17,69,11,0
74,442,750,667,21,64,11,0
75,443,800,769,30,78,11,0
76,444,750,667,21,73,11,0
77,445,700,625,29,55,11,0
78,446,750,667,26,68,11,0
79,447,800,769,29,76,11,0
80,448,700,625,25,65,11,0
81,449,750,667,18,71,11,0
82,450,750,667,23,68,11,0
83,451,700,625,13,24,11,0
84,452,700,625,20,37,11,0
85,453,700,625,22,41,11,0
86,454,500,667,6,11,11,0
87,455,500,690,10,15,11,0
88,456,500,667,11,21,11,0
89,457,500,769,12,35,11,0
90,458,500,741,19,34,11,0
91,459,500,714,14,42,11,0
92,460,500,833,27,50,11,0
93,461,500,769,29,48,11,0
94,462,500,741,26,46,11,0
95,463,500,769,32,50,11,0
96,464,500,667,25,46,11,0
97,465,500,833,26,79,11,0
98,466,500,769,35,65,11,0
99,467,500,714,24,71,11,0
100,468,500,833,45,83,11,0
101,469,500,769,45,75,11,0
102,470,500,741,40,71,11,0
103,471,500,769,49,77,11,0
104,472,500,667,38,70,11,0
105,473,500,833,38,114,11,0
106,474,500,769,47,87,11,0
107,475,500,714,30,90,11,0
108,476,500,833,54,100,11,0
109,477,500,769,51,85,11,0
110,478,500,741,44,79,11,0
111,479,500,769,19,39,11,0
112,480,500,769,29,60,11,0
113,481,500,769,34,71,11,0
114,482,500,690,5,11,11,0
115,483,500,909,3,23,11,0
116,484,500,645,4,9,11,0
117,485,500,667,6,14,11,0
118,486,500,645,5,22,11,0
119,487,500,690,15,21,11,0
120,488,500,714,16,30,11,0
121,489,500,690,18,33,11,0
122,490,500,667,20,33,11,0
123,491,500,769,19,54,11,0
124,492,500,870,28,60,11,0
125,493,500,769,25,53,11,0
126,494,500,645,13,53,11,0
127,495,500,769,37,53,11,0
128,496,500,833,38,70,11,0
129,497,500,769,36,66,11,0
130,498,500,667,34,55,11,0
131,499,500,769,30,86,11,0
132,500,500,870,44,94,11,0
133,501,500,769,39,83,11,0
134,502,500,645,20,80,11,0
135,503,500,769,54,78,11,0
136,504,500,833,53,98,11,0
137,505,500,769,46,86,11,0
138,506,500,667,41,68,11,0
139,507,500,769,35,99,11,0
140,508,500,714,37,80,11,0
141,509,650,625,18,33,11,0
142,510,650,625,27,51,11,0
143,511,650,625,34,63,11,0
144,512,550,645,5,11,14,0
145,513,550,625,4,17,14,0
