"rownum","StatsKey","TagsKeys","bool_32","i32_33","bool_37","bool_38","bool_39","i32_40"
0,10610,[658],1,0,1,"","",0
1,10611,[34],1,0,1,"","",0
2,10612,[319],1,0,1,"","",0
3,10613,[317],1,0,1,"","",0
4,10614,[660],1,0,1,"","",0
5,10615,[633],1,0,1,"","",0
6,10616,[634],1,0,1,"","",0
7,10617,"[659,706]",1,0,1,"","",0
8,10618,[324],1,0,1,"","",0
9,10619,[625],1,0,1,"","",0
10,2464,[319],"",1,"","","",0
11,2463,[34],"",1,"","","",0
12,12410,[313],1,0,"","","",0
13,12411,[309],1,0,"","","",0
14,12412,[311],1,0,"","","",0
15,12413,[310],1,0,"","","",0
16,12414,[312],1,0,"","","",0
17,12415,[661],1,0,"","","",0
18,12416,[323],1,0,"","","",0
19,12417,[324],1,0,"","","",0
20,12418,[625],1,0,"","","",0
21,12419,[634],1,0,"","","",0
22,12420,[636],1,0,"","","",0
23,12421,[632],1,0,"","","",0
24,12471,[316],1,0,"","","",0
25,12514,[317],1,0,"","","",0
26,12515,[633],1,0,"","","",0
27,12816,[],1,0,"","","",0
28,13974,[712],1,0,"","","",0
29,18116,[320],1,0,"","","",0
30,18117,[658],1,0,"","","",0
31,18118,"[659,706]",1,0,"","","",0
32,3850,[],"",0,1,"","",0
33,19489,[],1,0,"","",1,0
34,19490,[],1,0,"",1,"",0
35,20374,[],"",0,1,"","",1
36,20376,[],"",0,1,"","",2
37,20622,[],1,0,1,"","",0
