"rownum","Area","PosX","PosY","Tags","[i32]_40","bool_56","TextAudio","CompletionAchievements"
0,0,0,0,[731],[1],"",11922,[]
1,1771,981,797,"[718,732]","[1,3]","",11913,"[8144,8315]"
2,1772,1078,700,"[717,732]","[1,3]","",11912,"[8145,8315]"
3,1773,962,587,"[718,732]","[1,3]","",11913,"[8146,8315]"
4,1774,1273,421,"[719,732]","[1,3]","",11913,"[8147,8315]"
5,1775,1181,611,"[724,732]","[1,3]","",11915,"[8148,8315]"
6,1776,1248,862,"[714,732]","[1,3]","",11914,"[8149,8315]"
7,1777,1020,314,"[720,732]","[1,3]","",11913,"[8150,8315]"
8,1778,857,259,"[721,732]","[1,3]","",11913,"[8151,8315]"
9,1779,938,198,"[722,732]","[1,3]","",11910,"[8152,8315]"
10,1780,1093,501,"[725,732]","[1,3]","",11916,"[8153,8315]"
11,1783,1282,212,"[723,732]","[1,3]","",11910,"[8156,8315]"
12,1781,1132,310,"[715,732]","[1,3]",1,11911,"[8154,8315]"
13,1782,1209,333,"[715,732]","[1,3]",1,11911,"[8155,8315]"
14,1784,1397,229,"[726,732]","[1,3]","",11917,"[8157,8315]"
15,1785,868,922,"[717,732]","[1,3]","",11912,"[8158,8315]"
