"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32_48","MiscAnimatedKey","i32_68","i32_72","[i32]_76","[i32]_92","[i32]_108","[i32]_124","[i32]_140","[i32]_156","i32_172","i32_176","[rid]_180","MonsterVarietiesKey2"
0,7565,0,0,0,[3086],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7566,0,0,0,[3087],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7567,0,0,0,[3086],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7568,0,0,0,[3087],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7569,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7579,0,1,0,[3086],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7582,0,1,1,[3090],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7585,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7589,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7592,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7597,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7598,2,0,0,[3091],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7602,2,1,1,[3094],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7605,2,1,0,[3093],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7610,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7613,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7616,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7621,3,0,0,[3099],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7624,3,0,0,[3099],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7630,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7631,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7634,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7640,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
