"rownum","NPCsKey","rid_16","rid_32","i32_48","i32_52","i32_56","AOFile","Stance","BetrayalTargetsKey"
0,0,1254,"",1586,1586,25,"Metadata/NPC/Act1/Tarkleigh.ao","",""
1,19,"","",1586,1586,25,"Metadata/NPC/Act3/Hargan.ao","",""
2,189,"",1085,1586,1586,25,"Metadata/NPC/Act5/Lilly.ao","",""
3,344,"",1254,1586,1586,25,"Metadata/NPC/League/Incursion/TreasureHunter.ao","",""
4,103,"",672,1586,1586,25,"Metadata/NPC/Act4/Petarus.ao","",""
5,395,"",59,1586,1586,25,"Metadata/NPC/League/Blight/BlightBuilder.ao","",""
6,346,"","",1586,1586,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHaku.ao","idle_axe_01",1
7,347,"","",1586,1586,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalElreon.ao","idle_maul_01",2
8,348,"","",1586,1586,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalTora.ao","idle_bow_01",3
9,349,"","",1586,1586,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVagan.ao","idle_sword_sword_01",4
10,350,"","",1586,1586,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVorici.ao","idle_dagger_dagger_01",5
11,351,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHillock.ao","idle_town_01",6
12,352,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalLeo.ao","idle_town_01",7
13,353,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGrenn.ao","idle_town_01",8
14,354,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalJanus.ao","idle_town_01",9
15,355,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalBreach.ao","idle_town_01",10
16,356,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGravicius.ao","idle_town_01",11
17,357,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalThane.ao","idle_town_01",12
18,358,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalKeema.ao","idle_town_01",13
19,359,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRin.ao","idle_town_01",14
20,360,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalCameria.ao","idle_town_01",15
21,361,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalAislin.ao","idle_town_01",16
22,362,"","",1586,1586,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRiker.ao","idle_town_01",17
