"rownum","string_0","rid_8","[rid]_24","i32_40","[rid]_44","i32_60","[rid]_64","i32_80","[rid]_84","[rid]_100","[rid]_116","string_132","i32_140","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_144","rid_148","rid_164","i32_180","i32_184","i32_188","i32_192","i32_196","i32_200","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_204","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_208","i32_212","i32_216","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_220","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","u16_224","bool_226"
0,"ElementalWitchLightning",0,"[2,35]",2,"[1,6,7,36,4,8,3,5]",0,[],2,"[9,21,22,38,34,41]",[],"[1200,1201]","Metadata/Monsters/Mercenaries/MercenaryWitch/ElementalWitchLightning.ais",32401472,32401472,32401472,32401472,32401472,32401472,32401472,32401472,32401472,32401472,0,131072,0,0,-637534208,0,0,0,67108864,301989888,67108864,0,-100663296,335544320,67108864,301989888,67108864,-100663296,2,2,2,2,1,2,2,2,2,1,67108864,0,67108864,301989888,67108864,0,-100663296,335544320,67108864,301989888,67108864,-100663296,2,2,2,2,1,2,2,2,2,1,0,""
1,"ElementalWitchLightningNoble",0,"[2,35]",2,"[1,6,7,36,4,8,3,5]",0,[],2,"[9,21,22,38,34,41]",[],"[1200,1201,1199,1202]","Metadata/Monsters/Mercenaries/MercenaryWitch/ElementalWitchLightning.ais",62960272,63877776,62960272,62698128,62304912,64008848,62960272,63877776,62960272,62304912,0,131072,0,0,-637534208,0,33554432,0,-402653184,0,-301989888,-704643072,-838860800,67108864,-335544320,0,-335544320,-973078528,3,4,3,3,3,4,3,4,3,3,67108864,0,134217728,536870912,234881024,-167772160,-301989888,603979776,201326592,536870912,201326592,-436207616,4,4,4,3,3,4,4,4,4,3,0,""
2,"ElementalWitchCold",0,"[10,19]",2,"[16,20,12,11,13,14,17]",0,[],2,"[9,21,22,33,37]",[],"[1200,1203]","Metadata/Monsters/Mercenaries/MercenaryWitch/ElementalWitchCold.ais",100304733,101877597,100697949,99125085,98600797,102139741,100566877,101877597,100566877,98076509,0,131072,0,0,-637534208,0,0,0,268435456,805306368,369098752,-100663296,-335544320,805306368,369098752,905969664,436207616,-469762048,6,6,6,5,5,6,6,6,6,5,67108864,0,268435456,805306368,369098752,-100663296,-335544320,805306368,369098752,905969664,436207616,-469762048,6,6,6,5,5,6,6,6,6,5,0,""
3,"ElementalWitchColdNoble",0,"[10,19]",2,"[16,20,12,11,13,14,17]",0,[],2,"[9,21,22,33,37]",[],"[1200,1203,1199,1204]","Metadata/Monsters/Mercenaries/MercenaryWitch/ElementalWitchCold.ais",128122137,130219289,128515353,126680345,125762841,130219289,128515353,130612505,128777497,125238553,0,131072,0,0,-637534208,0,33554432,0,-905969664,-301989888,-704643072,-1509949440,-1778384896,-369098752,-704643072,-100663296,-570425344,-2046820352,7,7,7,7,7,7,7,7,7,7,67108864,0,-369098752,234881024,-167772160,-973078528,-1241513984,167772160,-167772160,436207616,-33554432,-1509949440,7,8,7,7,7,8,7,8,7,7,0,""
4,"ElementalWitchFire",0,"[15,18]",2,"[23,24,27,28,29,30,25]",0,[],2,"[9,21,32,31,26]",[],"[1200,1205]","Metadata/Monsters/Mercenaries/MercenaryWitch/ElementalWitchFire.ais",165465275,167824571,166251707,163105979,162057403,167562427,166251707,168611003,166775995,161008827,0,131072,0,0,-637534208,0,0,0,-234881024,503316480,33554432,-905969664,-1275068416,402653184,67108864,704643072,134217728,-1543503872,9,10,10,9,9,10,10,10,10,9,67108864,0,-234881024,503316480,33554432,-905969664,-1275068416,402653184,67108864,704643072,134217728,-1543503872,9,10,10,9,9,10,10,10,10,9,0,""
5,"ChaosMinionWitchDot",1,"[40,39]",2,"[46,49,50,48,47]",0,[],2,"[45,9,21,22,43,42,44]",[],"[1207,1208]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchDot.ais",199756622,202640206,200805198,197135182,195693390,202246990,200936270,203426638,201198414,194644814,0,0,0,0,-637534208,0,0,0,33554432,805306368,671088640,-771751936,-1174405120,872415232,402653184,1174405120,536870912,-1509949440,12,12,12,11,11,12,12,12,12,11,33554432,0,33554432,805306368,671088640,-771751936,-1174405120,872415232,402653184,1174405120,536870912,-1509949440,12,12,12,11,11,12,12,12,12,11,0,""
6,"ChaosMinionWitchDotNoble",1,"[40,39]",2,"[46,49,50,48,47]",0,[],2,"[45,9,21,22,43,42,44]",[],"[1207,1208,1199,1209]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchDot.ais",225868303,228882959,228358671,222722575,221149711,229145103,227310095,230324751,227834383,219838991,0,0,0,0,-637534208,0,33554432,0,-1577058304,-838860800,-469762048,1610612736,1241513984,-603979776,-1073741824,-301989888,-872415232,704643072,13,13,13,13,13,13,13,13,13,13,33554432,0,-1040187392,-301989888,67108864,-2147483648,1778384896,-67108864,-536870912,234881024,-335544320,1241513984,13,13,14,13,13,13,13,14,13,13,0,""
7,"ChaosMinionWitchInstability",1,"[67,61]",2,"[68,65,63,62,66]",0,[],2,"[9,21,22,60,64]",[],"[1207,1210]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchInstability.ais",261627164,264510748,265952540,257301788,255859996,265428252,263593244,266607900,264379676,253762844,0,196608,0,0,-637534208,0,0,0,-1342177280,-536870912,-134217728,1744830464,1275068416,-335544320,-838860800,-67108864,-704643072,704643072,15,15,15,15,15,15,15,15,15,15,67108864,0,-1342177280,-536870912,-134217728,1744830464,1275068416,-335544320,-838860800,-67108864,-704643072,704643072,15,15,15,15,15,15,15,15,15,15,0,""
8,"ChaosMinionWitchInstabilityNoble",1,"[67,61]",2,"[68,65,63,62,66]",0,[],2,"[9,21,22,60,64]",[],"[1207,1210,1199,1211]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchInstability.ais",288624148,291769876,293342740,283905556,282070548,292556308,290590228,293604884,291114516,279842324,0,196608,0,0,-637534208,0,33554432,0,1577058304,-1912602624,-1275068416,100663296,-402653184,-1744830464,-2147483648,-1509949440,-2080374784,-1140850688,17,17,17,17,16,17,17,17,17,16,67108864,0,2113929216,-1375731712,-738197504,637534208,134217728,-1207959552,-1610612736,-973078528,-1543503872,-603979776,17,17,17,17,17,17,17,17,17,16,0,""
9,"ChaosMinionWitchChaosHit",1,"[76,71]",2,"[72,70,69,75,74,73]",0,[],2,"[78,9,21,22,77]",[],"[1207,1212]","Metadata/Monsters/Mercenaries/MercenaryWitch/ChaosMinionWitchChaosHit.ais",326683022,329828750,332319118,320915854,318949774,330484110,328911246,331401614,329173390,316066190,0,0,0,0,-637534208,0,0,0,-1744830464,-838860800,-268435456,939524096,335544320,-805306368,-1107296256,-704643072,-1140850688,-503316480,19,19,19,19,19,19,19,19,19,18,33554432,0,-1744830464,-838860800,-268435456,939524096,335544320,-805306368,-1107296256,-704643072,-1140850688,-503316480,19,19,19,19,19,19,19,19,19,18,0,""
