"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
0,"ReminderTextAddedPassivesNoOtherJewels","(Added Passive Skills are never considered to be in Radius by other Jewels)","(Les Talents passifs ajoutés ne peuvent jamais être comptés comme étant dans le Rayon d'autres Joyaux)","(Hinzugefügte passive Fertigkeiten fallen nicht in den Radius von anderen Juwelen)","(追加されたパッシブスキルは他のジュエルの範囲内にあるとみなされることはない)","(추가된 패시브 스킬은 다른 주얼의 반경 내에 있는 것으로 간주되지 않습니다)","(Habilidades Passivas Adicionadas nunca são consideradas como estando no Raio por outras Joias)","(Добавленные пассивные умения никогда не будут считаться находящимися в радиусе других самоцветов)","(Las habilidades pasivas agregadas nunca se consideran dentro del radio de otras joyas)","(พาสซีฟที่เพิ่มเข้ามาจะไม่นับว่าอยู่ในรัศมีของจิวเวลเม็ดอื่นๆ)","( 附加的天賦點不會被其它珠寶視為範圍內 )","","","","","","","","","",""
1,"ReminderTextAddedPassivesSmallDefault","(All Added Passive Skills are Small unless otherwise specified)","(Sauf indication contraire, tous les Talents passifs ajoutés sont des Talents mineurs)","(Alle hinzugefügten passiven Fertigkeiten sind klein, sofern nicht anders angegeben)","(追加されるパッシブスキルは別途明記されない限り通常パッシブである)","(추가된 모든 패시브 스킬은 따로 언급이 없을 시 소형으로 취급합니다)","(Todas as Habilidades Passivas Adicionadas são Pequenas a menos que o contrário seja especificado)","(Все добавленные пассивные умения считаются малыми, если не оговорено иное)","(Todas las habilidades pasivas agregadas son pequeñas a menos que se especifique lo contrario)","(พาสซีฟที่เพิ่มเข้ามานับว่าเป็น พาสซีฟเล็ก เว้นแต่จะระบุไว้เป็นขนาดอื่น)","( 所有附加的天賦點都為小型，除非有特條件 )","","","","","","","","","",""
2,"ReminderTextShortestPathToClassStart","(Always counts the shortest possible path)","(Prends toujours en compte le chemin le plus court)","(Es wird immer der kürzeste Weg gezählt)","(常に最も短い経路で計算する)","(항상 가능한 한 최단 경로를 산출합니다)","(Sempre conta o caminho mais curto possível)","(Всегда рассчитывается кратчайший из доступных путей)","(Siempre se cuenta el camino más corto posible)","(นับจากเส้นทางที่สั้นที่สุดเท่านั้น)","( 必定計算最短路徑 )","","","","","","","","","",""
3,"ReminderTextFeedingFrenzy","(Feeding Frenzy grants 10% more Minion Damage, 10% increased Minion Movement Speed and 10% increased Minion Attack and Cast Speed)","(Frénésie dévorante octroie 10% Davantage de Dégâts des Créatures, 15% d'Augmentation de la Vitesse de déplacement des Créatures et 15% d'Augmentation de la Vitesse d'attaque et d'incantation des Créatures)","(Fressrausch gewährt 10% mehr Kreaturenschaden, 10% erhöhte Kreaturen-Bewegungsgeschwindigkeit und 10% erhöhte Kreaturenangriffs- und -zaubergeschwindigkeit)","(feeding frenzy: 暴食はミニオンのダメージ10%上昇、ミニオンの移動スピード10%増加、そしてミニオンのアタック及びキャストスピード10%増加を与える)","(\""격분 주입\""은 소환수 피해 10% 증폭, 소환수 이동 속도 10% 증가, 소환수 공격 속도 및 시전 속도 10% 증가를 부여합니다.)","(Frenesi Faminto concede 10% mais Dano de Lacaios, Velocidade de Movimento dos Lacaios aumentada em 10% e Velocidade de Ataque e Conjuração dos Lacaios aumentada em 10%)","(Голодное остервенение дарует на 10% больше урона приспешникам, 10% повышение скорости передвижения приспешников и 10% повышение скорости атаки и сотворения чар приспешниками)","(Frenesí voraz otorga un 10% más de daño de esbirros, velocidad de movimiento de esbirros aumentada un 10% y velocidades de ataque y de lanzamiento de hechizos de esbirros aumentadas en un 10%)","(สถานะ รุมเขมือบ เพิ่มความเสียหายของ มิเนียน อีก 10%, เพิ่มความเร็วในการเคลื่อนที่, โจมตี, ร่ายของ มิเนียน 10%)","( 豢養狂熱給予 10% 更多召喚物傷害、增加 10% 召喚物移動速度和增加 10% 召喚物攻擊和施放速度 )","","","","","","","","","",""
4,"ReminderTextOverpowered","(Overpowered can be applied any number of times)","(Le Débordement peut être appliqué plus d'une fois)","(Überwältigung kann beliebige Male angewendet werden)","(Overpowered: オーバーパワーは何回でも付与できる)","(\""압도\""는 횟수에 상관없이 적용 가능합니다)","(Subjugado pode ser aplicado qualquer quantidade de vezes)","(Притеснение можно наложить неограниченное количество раз)","(Subyugado se puede aplicar cualquier cantidad de veces)","(สถานะ สะเทือนโล่ สามารถทำให้เกิดซ้อนกันกี่ครั้งก็ได้)","( 壓制可以被作用很多次 )","","","","","","","","","",""
5,"ReminderTextImpale","(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits or 8 seconds)","(Lorsqu'un Ennemi Empalé est Touché, 10% des Dégâts physiques qui ont appliqué l'Empalement lui sont renvoyés. L'Empalement prend fin après 8 secondes, ou après avoir renvoyé des Dégâts à 5 reprises.)","(Wenn ein aufgespießter Gegner getroffen wird, reflektiert das Aufspießen 10% des physischen Schadens des aufspießenden Treffers auf diesen Gegner. Aufspießen dauert 5 Treffer oder 8 Sekunden an)","(Impale: 串刺された敵がヒットを受けた際、串刺しは串刺しを与えたヒットの物理ダメージの10%を敵に反射する。串刺しは5ヒットまたは8秒間持続する)","(\""꿰뚫린\"" 적이 피격당하면, 꿰뚫림이 적용되었던 타격의 물리 피해량의 10%가 적에게 반사됩니다. 꿰뚫림은 5회 피격될 동안 또는 8초 동안 유지됩니다)","(Quando um inimigo Empalado é acertado, o Empalamento reflete 10% do dano físico do acerto Empalador ao inimigo. Emapalar dura 5 acertos ou 8 segundos)","(Когда враг с наложенным на него Проколом получает удар, Прокол отражает 10% от физического урона прокалывающего удара этому же врагу. Эффект Прокола длится 5 ударов или 8 секунд.)","(Cuando un enemigo empalado es golpeado, el empalamiento refleja un 10% del daño físico del golpe empalador a ese enemigo. Empalar dura 5 golpes o 8 segundos)","(เมื่อศัตรูที่ติดสถานะ ทิ่มแทง ถูกปะทะอีกครั้ง มันจะได้รับความเสียหาย สะท้อน 10% ของความเสียหาย กายภาพ ที่สร้างสถานะนี้ สถานะนี้รับการปะทะได้ 5 ครั้งแต่คงอยู่ไม่เกิน 8 วินาที)","( 當被穿刺的敵人被擊中，穿刺會反射 10% 穿刺之擊所造成的物理傷害至敵人。穿刺持續 5 次擊中 )","","","","","","","","","",""
6,"ReminderTextConsecutive","(These are consecutive)","(Ces effets sont consécutifs)","(Diese sind konsekutiv)","(これらの効果は連続して起きる)","(지속 효과)","(consecutivamente)","(Действуют последовательно)","(Estas son consecutivas)","(สิ่งเหล่านี้เกิดขึ้นอย่างต่อเนื่อง)","( 這是連續的 )","","","","","","","","","",""
7,"ReminderTextUnaffectedBy","(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)","(Les Effets néfastes auxquels vous êtes Insensible peuvent s'appliquer à vous, mais vous n'en subirez pas les effets)","(Schwächungen, die Euch nicht beeinträchtigen, können trotzdem auf Euch angewendet werden, auch wenn sie keine Wirkung haben)","(Unaffected: 影響を受けない場合でも、デバフがかけられるが、それによる効果は表れない)","(플레이어에게 효과가 없는 \""디버프\""는, 유지는 되겠지만 실제로 적용되지는 않습니다)","(Penalidades pelas quais você não está afetado ainda podem ser colocadas em você, mas não surtirão efeito)","(Отрицательные эффекты, не имеющие воздействия, все ещё будут накладываться на вас, но их эффект не будет действовать)","(Las penalidades que no te afectan pueden aplicarse sobre ti de todos modos, pero sus efectos no se aplicarán)","(ดีบัฟที่ไม่มีผลต่อคุณจะยังเกิดขึ้นบนตัวคุณได้ แต่จะไม่มีผลเท่านั้นเอง)","( 對你沒影響的減益效果仍可以放置你身上，但不會發揮效果 )","","","","","","","","","",""
8,"ReminderTextElementalConflux","(While you have Elemental Conflux, all Damage from Hits will cause Chill, Shock, and Ignite)","(Tant que vous avez Conflux élémentaire, vous Refroidissez, Électrocutez et Embrasez au Toucher)","(Solange Ihr über Elementarkonfluenz verfügt, führt jeder Schaden durch Treffer zur Entzündung, Unterkühlung und Schock)","(Elemental Conflux: エレメンタルコンフラックスの時、ヒットによる全てのダメージは冷却、感電、そして発火を引き起こす)","(\""원소 융합\"" 상태일 때, 명중으로 주는 모든 피해가 냉각, 감전, 점화를 유발합니다)","(Enquanto você estiver com Confluência Elemental, todo Dano de Acertos Resfriará, Eletrizará e Incendiará)","(Во время действия эффекта Слияния стихий, весь урон от ударов будет охлаждать, накладывать шок и поджигать)","(Mientras tengas Confluencia elemental, todo el daño de los golpes aplicará escarchamiento, electrocución y quemadura)","(ขณะที่มีสถานะ ธาตุบรรจบ, ความเสียหาย ปะทะ ทุกชนิด จะสร้างสถานะ หนาวเย็น, ช็อค, ลุกไหม้)","( 當你有元素匯流時，你所有擊中造成的傷害皆能造成感電、冰緩，和點燃 )","","","","","","","","","",""
9,"ReminderTextSavageHit","(A Hit that removes at least 15% of Maximum Life is a Savage Hit)","(Un Coup brutal est un coup qui retire au moins 15% de la Vie maximale)","(Ein Treffer, der mindestens 15% des maximalen Lebens vertilgt, ist ein schwerer Treffer)","(Savage hit: 最大ライフの15%以上のダメージを与えるヒットをサベージヒットと呼ぶ)","(한 번의 피격으로 최대 체력의 15% 이상이 사라지는 공격이 \""야만적인 타격\""입니다)","(Um Acerto que remove ao menos 15% da Vida Máxima é um Golpe Bestial)","(Удар, отнимающий не менее 15% от максимума здоровья, считается Жестоким ударом)","(Un golpe salvaje es un golpe que quita al menos un 15% de la vida máxima)","(การปะทะที่กำจัดพลังชีวิตมากกว่า 15% ถือว่าเป็น การปะทะที่ร้ายแรง)","( 當一個一次性的擊中傷害使目標失去 15% 最大生命以上的傷害時，該傷害視為殘暴之擊 )","","","","","","","","","",""
