"rownum","Id","Order","Width","Height","TotalCount","i32_24","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,42,2,"Flask","Flacons","Fläschchen","フラスコ","플라스크","Frascos","Флакон","Frasco","ขวดยา","藥劑",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",37,""
1,"Amulet",3,1,1,117,1,"Amulet","Amulettes","Amulett","アミュレット","목걸이","Amuletos","Амулет","Amuleto","สร้อย","項鍊",87,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",87,""
2,"Ring",4,1,1,137,1,"Ring","Bagues & Anneaux","Ring","指輪","반지","Anéis","Кольцо","Anillo","แหวน","戒指",105,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",105,""
3,"Claw",5,2,2,44,2,"Claw","Griffes","Klaue","鉤爪","클로","Garras","Коготь","Garra","กรงเล็บ","爪",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",6,1,3,25,3,"Dagger","Dagues","Dolch","短剣","단검","Adagas","Кинжал","Daga","มีด","匕首",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",7,1,3,28,3,"Wand","Baguettes","Zauberstab","ワンド","마법봉","Varinhas","Жезл","Varita","ไม้กายสิทธิ์","法杖",24,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",24,""
6,"Sword",8,2,3,138,3,"Sword","Épées","Schwert","剣","검","Espadas","Меч","Espada","ดาบ","劍",56,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56,""
7,"Axe",9,2,4,68,4,"Axe","Haches","Axt","斧","도끼","Machados","Топор","Hacha","ขวาน","斧",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",28,""
8,"Mace",10,2,4,122,4,"Mace","Masses","Streitkolben","メイス","철퇴","Maças","Булава","Maza","กระบอง","錘",51,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",51,""
9,"Bow",11,2,4,70,4,"Bow","Arcs","Bogen","弓","활","Arcos","Лук","Arco","ธนู","弓",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",12,2,4,96,4,"Staff","Bâtons","Stab","スタッフ","지팡이","Cajados","Посох","Báculo","ไม้พลอง","長杖",38,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",38,""
11,"Quiver",13,2,3,56,3,"Quiver","Carquois","Köcher","矢筒","화살통","Aljavas","Колчан","Carcaj","ซองธนู","箭袋",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",22,""
12,"Belt",14,2,1,146,1,"Belt","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояс","Cinturón","เข็มขัด","腰帶",59,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",60,""
13,"Gloves",15,2,2,186,2,"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",83,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",84,""
14,"Boots",16,2,2,180,2,"Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",74,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",75,""
15,"Body Armour",17,2,3,216,3,"Body Armour","Armures","Körperrüstung","鎧","갑옷","Peitorais","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",95,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",95,""
16,"Helmet",18,2,2,254,4,"Helmet","Casques","Helm","兜","투구","Elmos","Шлем","Casco","หมวก","頭盔",107,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",108,""
17,"Shield",19,2,4,164,4,"Shield","Boucliers","Schild","盾","방패","Escudos","Щит","Escudo","โล่","盾牌",69,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",70,""
18,"Map",20,1,1,32,1,"Map","Cartes","Karte","マップ","지도","Mapas","Карта","Mapa","แผนที่","地圖",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",21,1,1,195,1,"Jewel","Joyaux","Juwel","ジュエル","주얼","Joias","Самоцвет","Joya","จิวเวล","珠寶",110,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",109,""
20,"Watchstone",22,1,1,15,1,"Watchstone","Pierre de veille","Wächterstein","ウォッチストーン","감시자의 돌","Pedras Sentinela","Камень Хранителя","Roca del vigilante","อัญมณีผู้พิทักษ์","守望石",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",23,1,1,6,1,"Contract","Contrat","Auftrag","依頼書","계약","Contrato","Контракт","Contrato","สัญญาจ้าง","契約書",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
22,"Tincture",2,1,2,5,2,"Tincture","Teinture","Tinktur","チンキ","팅크","Tintura","Микстура","Tintura","ยาเคลือบอาวุธ","萃取物",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Tincture",5,""
